,Gender,Geographic Region,Loyalty Status,Neighborhood Cluster-7 Level,Affluence Grade,Age,Loyalty Card Tenure,Organics Purchase Count,Organics Purchase Indicator,Total Spend
125,0,1,2,4,5,58,4,0,0,420.0
126,0,1,3,3,8,33,5,1,1,0.01
127,1,3,3,3,11,35,8,1,1,0.01
128,1,1,0,0,4,71,12,0,0,6000.0
129,1,2,3,1,10,55,4,0,0,0.01
130,1,3,0,1,13,53,5,0,0,6871.12
131,0,3,2,4,9,58,19,0,0,1500.0
132,1,1,3,2,13,43,5,0,0,0.01
133,0,3,3,3,8,47,5,0,0,0.01
134,1,3,0,2,4,74,2,0,0,6000.0
135,1,1,2,4,10,49,1,0,0,5000.0
136,0,3,2,3,9,58,9,0,0,3000.0
137,0,0,3,3,8,56,8,0,0,0.01
138,0,3,0,1,5,47,1,0,0,6000.0
139,0,0,2,5,14,30,1,1,1,100.0
140,0,3,1,3,3,68,4,1,1,50000.0
141,0,1,2,3,8,45,4,0,0,1000.0
142,0,3,0,0,7,71,6,0,0,12000.0
143,0,3,0,3,10,65,8,0,0,9053.35
144,0,3,0,2,10,74,5,0,0,19000.0
145,0,1,3,3,10,43,5,1,1,0.01
146,0,4,2,4,11,44,9,0,0,500.0
147,1,3,0,3,7,46,12,0,0,17409.76
148,0,0,2,5,8,29,12,0,0,2000.0
149,0,0,3,2,7,53,5,1,1,0.01
150,1,0,2,4,9,64,12,0,0,1000.0
151,1,3,2,3,10,49,5,1,1,3000.0
152,0,3,0,5,17,59,8,2,1,12000.0
153,0,1,3,5,8,37,5,0,0,0.01
154,0,3,2,2,15,51,8,1,1,3000.0
155,0,0,2,1,18,51,3,0,0,3000.0
156,0,2,2,3,5,58,11,0,0,3050.0
157,1,3,3,0,9,46,9,0,0,0.01
158,0,0,0,2,4,61,1,0,0,6000.0
159,0,0,3,2,9,38,5,1,1,0.01
160,1,3,0,4,7,68,6,0,0,15000.01
161,0,0,0,5,12,76,2,0,0,6000.0
162,0,1,3,3,4,56,8,0,0,0.01
163,1,1,2,0,8,73,1,1,1,360.0
164,0,0,3,3,8,37,9,1,1,0.01
165,0,3,2,0,11,74,4,0,0,3350.0
166,0,0,2,4,5,60,2,0,0,5000.0
167,0,2,2,3,10,35,4,0,0,1500.0
168,0,2,0,2,6,46,1,0,0,6544.99
169,0,3,0,4,3,46,5,0,0,6000.0
170,0,3,1,4,5,70,0,0,0,21684.94
171,0,3,2,4,12,49,3,0,0,3000.0
172,0,0,2,4,4,63,7,0,0,3026.67
173,0,3,3,3,7,43,5,0,0,0.01
174,0,3,0,2,8,64,2,0,0,12000.0
175,0,1,2,4,12,31,9,0,0,1100.0
176,0,1,2,3,11,41,5,0,0,1000.0
177,0,0,3,5,9,45,8,0,0,0.01
178,0,3,3,2,9,40,5,0,0,0.01
179,0,3,0,1,7,70,2,0,0,12000.0
180,0,0,0,5,8,52,2,0,0,6000.0
181,0,3,3,4,6,38,9,1,1,0.01
182,0,3,2,3,8,43,10,0,0,50.0
183,1,1,3,4,7,37,5,0,0,0.01
184,1,2,3,2,7,42,5,0,0,0.01
185,0,1,2,1,15,33,7,2,1,0.02
186,1,2,0,3,8,54,8,0,0,12000.0
187,0,3,2,2,5,54,2,0,0,1000.0
188,1,1,0,1,9,53,3,0,0,6000.0
189,0,1,3,5,16,37,5,2,1,0.01
190,0,3,3,1,7,65,8,0,0,0.01
191,0,0,2,4,14,39,10,1,1,50.0
192,0,2,0,5,9,42,2,1,1,6000.0
193,1,1,2,4,6,67,8,0,0,3000.0
194,0,0,3,5,11,43,5,1,1,0.01
195,0,3,2,2,8,50,9,0,0,0.02
196,0,0,3,3,13,58,8,0,0,0.01
197,1,0,0,1,5,79,8,0,0,6000.0
198,0,3,2,0,8,68,8,1,1,800.0
199,0,3,2,0,9,48,8,0,0,600.0
200,1,4,2,5,12,35,5,0,0,1500.0
201,0,0,3,3,9,38,4,1,1,0.01
202,1,1,0,2,11,42,5,0,0,6041.13
203,1,1,2,2,14,50,4,0,0,420.01
204,1,1,3,2,4,63,5,1,1,0.01
205,0,3,0,2,9,75,1,0,0,6000.0
206,0,3,2,3,8,50,8,0,0,50.0
207,0,3,3,3,2,58,8,0,0,0.01
208,0,3,2,5,6,54,11,0,0,50.0
209,0,1,3,3,7,54,5,0,0,0.01
210,0,3,3,5,18,38,6,1,1,0.01
211,1,3,2,2,8,55,5,0,0,1000.0
212,1,2,3,4,8,52,4,0,0,0.01
213,0,0,2,3,11,59,2,0,0,1500.0
214,1,4,2,5,6,63,2,1,1,1000.0
215,1,1,3,4,15,47,6,0,0,0.01
216,0,3,3,5,6,44,8,0,0,0.01
217,0,3,3,0,7,39,7,0,0,0.01
218,1,0,3,5,8,38,5,0,0,0.01
219,0,3,3,3,13,72,8,0,0,0.01
220,0,0,0,2,7,66,8,0,0,9000.0
221,0,3,0,5,6,78,5,0,0,7500.0
222,1,0,0,1,9,55,2,0,0,5672.31
223,1,0,0,5,7,49,3,0,0,10000.0
224,0,0,3,3,6,45,4,0,0,0.01
225,0,2,2,5,5,73,32,0,0,600.0
226,0,3,1,0,8,71,4,1,1,23425.0
227,0,3,0,3,14,52,5,0,0,7017.55
228,0,0,0,2,9,57,7,0,0,9052.66
229,1,1,0,3,10,63,4,0,0,6053.34
230,1,1,3,2,20,39,8,2,1,0.01
231,0,0,3,2,7,35,4,1,1,0.01
232,0,0,2,5,8,58,9,0,0,1930.0
233,0,0,3,2,10,40,4,1,1,0.01
234,0,3,0,0,9,61,11,0,0,12150.0
235,0,1,2,2,13,70,11,0,0,500.0
236,0,1,2,5,5,70,5,0,0,3500.0
237,0,0,0,0,6,60,4,0,0,10000.0
238,0,3,2,1,14,77,11,0,0,4884.25
239,0,3,2,4,10,74,12,0,0,4500.0
240,0,0,2,3,7,67,5,0,0,3000.0
241,1,0,0,3,7,51,11,1,1,17000.0
242,0,0,2,2,18,37,8,3,1,50.01
243,0,2,0,2,5,58,22,0,0,6000.0
244,0,3,2,3,6,27,7,0,0,5.0
245,0,3,0,3,9,70,8,0,0,6000.0
246,1,1,3,4,7,51,10,0,0,0.01
247,0,0,2,5,10,58,8,0,0,3000.01
248,0,0,3,4,10,73,6,0,0,0.01
249,0,3,2,5,7,38,4,0,0,4500.0
250,0,3,2,0,7,71,3,1,1,2000.0
251,1,3,2,2,22,50,6,2,1,3000.0
252,0,0,2,2,6,51,27,0,0,3500.0
253,0,0,3,3,10,33,8,0,0,0.01
254,0,3,0,0,8,64,4,1,1,20000.0
255,0,3,2,5,9,50,4,0,0,5000.0
256,0,3,0,5,5,41,3,0,0,6000.0
257,1,2,3,3,12,50,7,1,1,0.01
258,0,4,0,0,13,54,30,0,0,12078.35
259,0,3,2,1,13,45,8,0,0,3000.0
260,1,3,2,1,10,59,2,0,0,780.0
261,1,2,2,3,9,66,9,0,0,2000.0
262,1,1,3,1,5,52,11,0,0,0.01
263,0,3,3,3,9,48,5,1,1,0.01
264,0,3,3,1,6,60,5,0,0,0.01
265,0,0,0,2,11,56,7,0,0,6105.32
266,0,0,3,4,26,31,4,2,1,0.01
267,1,3,3,2,9,55,11,0,0,0.01
268,1,0,2,2,8,61,6,0,0,3250.0
269,1,3,2,0,9,68,4,0,0,4250.0
270,0,3,3,2,14,47,8,0,0,0.01
271,0,0,2,2,3,70,11,0,0,3000.0
272,1,3,2,1,10,40,13,0,0,1000.0
273,1,0,3,5,10,57,4,0,0,0.01
274,0,2,2,1,11,54,9,0,0,360.0
275,0,3,0,1,9,44,5,0,0,6053.35
276,1,1,2,3,6,57,8,0,0,0.02
277,0,2,3,5,13,45,4,2,1,0.01
278,0,3,3,4,9,40,6,1,1,0.01
279,0,1,2,1,9,22,3,1,1,1000.0
280,1,3,2,0,10,73,27,0,0,5000.0
281,1,0,3,1,5,50,4,0,0,0.01
282,0,3,2,5,8,76,3,1,1,1000.0
283,0,3,3,4,7,52,9,0,0,0.01
284,0,0,0,3,9,48,2,0,0,6000.0
285,1,0,3,3,9,47,4,0,0,0.01
286,0,1,2,3,10,61,3,1,1,3000.0
287,1,4,2,4,8,55,8,0,0,4000.0
288,0,1,0,2,5,76,3,1,1,6000.0
289,1,2,2,0,11,47,11,0,0,1200.0
290,0,0,0,2,12,60,4,0,0,9604.34
291,1,3,3,2,8,49,20,0,0,0.01
292,0,3,0,3,9,67,5,1,1,10000.0
293,1,3,2,2,4,53,9,0,0,1070.0
294,1,3,0,2,8,69,8,0,0,14400.0
295,0,3,3,5,7,27,4,1,1,0.01
296,1,3,2,1,10,63,7,0,0,3000.0
297,0,1,3,3,18,41,5,1,1,0.01
298,0,3,2,3,4,64,9,0,0,420.0
299,1,3,0,4,8,45,2,0,0,6000.0
300,0,3,3,3,10,46,4,0,0,0.01
301,0,0,3,4,6,75,9,0,0,0.01
302,1,1,0,1,11,62,10,0,0,6000.0
303,1,1,0,1,13,64,8,0,0,12000.0
304,0,0,2,2,11,25,3,1,1,3000.0
305,0,0,1,2,5,46,9,0,0,24878.35
306,0,3,0,5,6,56,1,0,0,6000.0
307,1,2,0,2,6,62,4,0,0,18800.0
308,1,3,0,5,5,77,16,0,0,9600.0
309,0,0,3,2,6,48,5,0,0,0.01
310,0,1,2,2,4,29,7,1,1,100.0
311,1,0,3,2,9,63,5,0,0,0.01
312,0,1,2,2,12,68,31,0,0,2000.0
313,0,3,2,1,7,36,8,1,1,3000.01
314,0,0,2,4,17,43,6,2,1,3026.67
315,1,3,3,3,6,57,4,0,0,0.01
316,0,3,3,3,6,45,10,0,0,0.01
317,0,1,3,1,12,37,5,1,1,0.01
318,1,0,2,2,10,44,9,0,0,500.0
319,0,3,0,1,9,51,10,0,0,7053.34
320,0,4,0,5,7,62,2,0,0,6000.0
321,0,0,2,5,18,54,9,2,1,970.92
322,1,3,2,3,7,57,5,0,0,1500.0
323,1,0,0,1,7,63,5,0,0,7500.0
324,1,1,3,3,3,51,5,0,0,0.01
325,1,0,0,3,11,74,8,0,0,10000.01
326,1,4,2,5,8,56,5,1,1,4000.0
327,0,0,3,5,4,33,6,0,0,0.01
328,0,0,2,1,8,50,5,0,0,4800.0
329,1,1,0,5,7,72,5,0,0,6000.0
330,1,2,2,5,8,28,2,0,0,68.22
331,0,1,0,0,9,65,6,0,0,6053.35
332,0,1,2,2,10,39,1,1,1,600.0
333,0,4,0,2,11,59,5,0,0,10213.66
334,1,1,3,3,10,50,5,0,0,0.01
335,1,3,3,0,9,55,4,0,0,0.01
336,0,3,0,5,12,48,13,2,1,6053.35
337,1,3,3,5,8,32,7,1,1,0.01
338,0,1,3,2,13,38,8,1,1,0.01
339,0,0,2,5,9,39,4,1,1,2700.0
340,1,2,0,4,11,44,3,1,1,6000.0
341,0,0,0,3,11,57,6,1,1,9000.0
342,0,0,0,5,5,34,5,0,0,6000.0
343,0,1,3,3,11,56,6,2,1,0.01
344,1,0,0,2,6,69,12,0,0,12105.32
345,1,3,2,0,11,53,7,0,0,600.0
346,0,1,3,3,10,33,9,1,1,0.01
347,1,1,2,2,6,67,4,0,0,1200.0
348,0,2,2,5,8,74,5,0,0,2000.0
349,0,1,0,5,4,73,20,0,0,6500.0
350,0,3,3,5,16,37,8,2,1,0.01
351,0,4,2,4,7,60,10,1,1,1324.2
352,0,0,0,2,9,74,12,0,0,11605.32
353,0,3,3,3,8,49,8,0,0,0.01
354,0,3,1,4,5,58,9,0,0,21000.0
355,0,0,2,1,8,43,4,0,0,1200.0
356,0,0,2,0,8,78,2,1,1,3000.0
357,0,0,0,3,4,76,6,0,0,6000.0
358,0,0,2,4,15,48,9,1,1,500.0
359,1,1,3,4,7,68,12,0,0,0.01
360,1,3,1,0,7,61,0,0,0,28780.41
361,1,2,0,1,10,64,11,0,0,5100.0
362,0,1,0,3,10,62,5,0,0,6053.35
363,0,0,2,4,11,35,8,1,1,600.0
364,0,3,2,2,8,35,6,1,1,1000.0
365,1,3,3,4,8,55,8,0,0,0.01
366,1,3,1,1,6,63,6,0,0,30131.68
367,0,1,3,2,7,33,9,0,0,0.01
368,1,0,2,5,7,50,1,0,0,4198.0
369,1,2,2,5,12,57,4,0,0,1000.0
370,0,0,2,2,11,45,4,0,0,720.0
371,0,0,2,5,6,49,4,1,1,920.0
372,1,2,2,2,9,70,8,0,0,3000.0
373,0,1,3,1,6,39,7,1,1,0.01
374,0,0,2,4,9,37,1,1,1,420.0
375,0,2,2,0,8,62,2,0,0,3750.0
376,0,3,0,1,9,59,28,0,0,7400.0
377,1,3,2,3,15,52,5,1,1,3000.0
378,1,3,2,3,9,50,9,0,0,1200.0
379,0,3,2,2,7,35,1,1,1,500.0
380,0,0,3,5,12,39,5,1,1,0.01
381,0,0,3,0,11,32,5,0,0,0.01
382,0,1,3,5,7,30,4,1,1,0.01
383,0,1,3,2,10,59,10,1,1,0.01
384,1,1,2,2,14,53,5,2,1,480.0
385,0,0,3,5,12,53,5,0,0,0.01
386,0,0,3,5,13,53,8,1,1,0.01
387,1,4,3,5,7,48,7,0,0,0.01
388,0,1,3,2,11,61,5,1,1,0.01
389,0,0,2,5,14,76,9,1,1,500.0
390,0,1,3,2,11,44,5,1,1,0.01
391,0,3,1,0,9,39,1,1,1,30649.41
392,0,3,3,5,6,35,5,0,0,0.01
393,0,1,0,1,11,63,12,0,0,19000.0
394,0,0,0,5,11,62,2,0,0,12000.0
395,0,2,3,4,9,50,8,0,0,0.01
396,0,1,3,4,12,34,4,1,1,0.01
397,0,3,2,5,22,30,4,3,1,1750.0
398,0,1,3,2,10,44,8,0,0,0.01
399,1,0,3,2,7,40,4,0,0,0.01
400,0,3,2,5,11,25,1,1,1,2400.0
401,1,0,2,3,5,57,4,0,0,3000.0
402,0,1,2,0,7,23,5,1,1,1000.0
403,1,3,3,2,10,35,8,1,1,0.01
404,0,3,3,4,12,33,8,1,1,0.01
405,0,3,2,5,9,46,2,0,0,5000.0
406,0,3,3,2,12,43,9,1,1,0.01
407,0,2,3,4,14,35,4,1,1,0.01
408,1,0,2,2,7,54,11,0,0,4500.0
409,0,2,2,3,13,66,5,1,1,2000.0
410,0,3,3,5,16,37,8,1,1,0.01
411,1,1,2,0,3,58,2,0,0,3000.0
412,1,3,3,0,10,49,8,0,0,0.01
413,0,0,3,3,8,36,8,1,1,0.01
414,0,3,2,1,10,54,5,1,1,2000.0
415,1,0,3,5,8,55,9,0,0,0.01
416,0,3,1,2,7,72,8,0,0,26053.35
417,1,1,3,5,7,40,4,0,0,0.01
418,0,0,3,2,3,55,5,0,0,0.01
419,0,1,3,1,10,63,8,0,0,0.01
420,1,0,1,5,14,70,3,0,0,20294.5
421,1,0,1,2,12,70,24,1,1,29374.72
422,0,1,0,3,3,77,4,0,0,15053.82
423,1,0,0,0,6,63,13,0,0,18000.0
424,0,3,0,0,6,68,5,0,0,19411.22
425,0,1,2,2,5,68,9,0,0,1500.0
426,1,0,3,5,7,49,5,0,0,0.01
427,1,1,2,2,7,73,4,1,1,2000.0
428,0,3,0,2,10,59,2,1,1,6000.0
429,0,0,0,5,11,67,2,1,1,6000.0
430,0,0,0,1,10,56,1,0,0,9000.0
431,0,0,1,2,7,56,3,0,0,20383.7
432,0,2,2,0,9,69,18,0,0,5000.0
433,1,3,0,2,8,75,2,0,0,8000.0
434,1,3,3,2,13,42,5,1,1,0.01
435,1,0,2,5,6,50,6,0,0,1000.0
436,1,3,3,3,7,51,5,0,0,0.01
437,0,1,0,0,12,25,2,1,1,6000.0
438,0,4,2,5,10,50,8,0,0,3000.0
439,0,0,2,1,9,64,7,1,1,300.0
440,0,3,0,1,15,61,4,0,0,7500.0
441,1,1,0,5,11,67,2,0,0,9000.0
442,1,3,3,1,10,37,7,0,0,0.01
443,0,2,2,3,9,55,4,0,0,2000.0
444,0,3,2,1,10,67,8,0,0,3000.0
445,0,0,3,4,12,43,5,0,0,0.01
446,0,3,0,4,5,45,3,0,0,19465.7
447,0,3,1,4,12,75,23,1,1,24106.7
448,1,0,2,3,5,52,1,0,0,100.0
449,0,3,3,3,7,61,6,0,0,0.01
450,0,1,3,5,4,42,5,0,0,0.01
451,0,0,0,4,15,53,3,0,0,6000.0
452,0,1,2,1,7,56,5,0,0,0.02
453,1,3,3,5,2,40,5,0,0,0.01
454,0,3,3,1,5,35,5,0,0,0.01
455,1,3,2,0,7,53,8,0,0,2460.01
456,0,3,3,5,6,35,6,0,0,0.01
457,0,3,0,3,3,38,5,0,0,5192.69
458,0,3,2,2,8,29,4,1,1,1500.0
459,1,1,2,4,13,43,11,0,0,50.0
460,0,3,2,4,6,70,9,1,1,1000.0
461,0,4,2,2,12,65,4,1,1,2215.4
462,0,3,3,1,13,57,9,0,0,0.01
463,0,1,0,4,9,41,6,0,0,12000.0
464,0,1,0,0,11,64,4,0,0,6000.0
465,0,3,3,4,7,43,5,1,1,0.01
466,0,3,2,3,6,32,10,1,1,3050.0
467,0,0,0,1,2,58,12,0,0,6550.0
468,0,1,0,1,6,70,8,0,0,6000.0
469,1,3,2,3,16,60,2,0,0,3000.0
470,1,0,3,5,11,49,10,0,0,0.01
471,0,2,0,3,5,62,5,0,0,6000.0
472,0,1,2,4,6,49,10,0,0,1608.0
473,0,0,2,5,7,59,4,0,0,5000.0
474,1,0,2,2,8,53,5,0,0,1000.0
475,1,3,3,1,9,32,5,1,1,0.01
476,0,3,3,0,8,37,5,1,1,0.01
477,0,1,2,5,20,62,4,1,1,1600.0
478,0,1,2,5,6,32,5,1,1,0.02
479,0,0,2,0,11,79,16,0,0,5000.0
480,0,3,0,4,12,37,5,1,1,6000.01
481,0,3,0,4,8,62,5,0,0,13500.0
482,0,0,2,5,8,68,5,0,0,2200.0
483,0,0,0,5,9,51,4,0,0,6001.74
484,0,2,2,5,13,39,2,1,1,1500.0
485,0,0,0,0,6,55,29,1,1,7000.0
486,0,3,2,3,3,57,6,0,0,2500.0
487,0,3,2,0,12,50,9,1,1,600.0
488,1,0,3,4,9,36,4,1,1,0.01
489,1,3,0,0,7,51,2,0,0,6000.0
490,1,3,0,1,7,67,8,0,0,12000.0
491,1,3,1,2,13,68,3,0,0,20364.36
492,0,3,2,3,16,47,8,1,1,2790.0
493,0,0,3,1,6,44,5,0,0,0.01
494,1,3,2,5,7,29,8,1,1,360.0
495,1,0,2,2,6,61,4,0,0,900.0
496,0,1,3,5,7,69,9,0,0,0.01
497,0,3,2,0,8,70,15,0,0,3000.01
498,0,1,3,5,5,43,5,1,1,0.01
499,0,0,0,1,6,77,3,0,0,6000.0
500,0,1,2,4,25,36,5,3,1,2000.0
501,0,3,0,1,8,38,6,1,1,12035.57
502,1,1,2,1,15,58,10,0,0,100.0
503,0,1,3,2,7,46,18,0,0,0.01
504,1,3,2,1,11,63,1,0,0,4000.0
505,0,1,3,1,4,75,8,0,0,0.01
506,0,3,3,2,7,54,7,1,1,0.01
507,0,3,3,4,15,44,4,2,1,0.01
508,1,1,0,2,12,65,10,0,0,12100.0
509,0,1,2,3,6,46,1,0,0,3000.0
510,0,3,0,2,8,67,7,1,1,6000.0
511,0,3,0,5,7,45,9,0,0,6000.0
512,1,3,2,3,5,36,8,0,0,50.01
513,0,3,0,0,9,27,3,0,0,10000.0
514,1,0,0,4,8,46,2,0,0,6000.0
515,0,3,3,2,7,37,10,0,0,0.01
516,0,1,0,4,6,78,21,0,0,6000.0
517,1,3,2,2,4,79,1,0,0,2007.95
518,0,2,2,1,7,55,5,0,0,2000.0
519,0,2,2,2,10,55,9,0,0,1020.0
520,0,0,2,4,8,52,5,0,0,3000.0
521,0,0,0,3,8,75,4,0,0,15000.0
522,0,3,2,1,6,44,1,1,1,2000.0
523,0,1,2,3,10,36,4,1,1,1100.0
524,1,3,2,0,6,64,14,0,0,3000.0
525,1,1,3,5,7,47,8,0,0,0.01
526,0,0,0,3,3,58,13,0,0,19171.95
527,1,0,0,4,9,48,5,0,0,10500.0
528,0,0,2,3,6,65,17,0,0,3213.27
529,0,3,3,2,6,44,5,0,0,0.01
530,0,0,2,4,5,44,8,1,1,1005.0
531,0,3,0,0,12,38,5,0,0,15500.0
532,0,1,3,3,8,46,8,0,0,0.01
533,0,3,3,4,10,28,5,1,1,0.01
534,0,3,0,3,6,73,7,0,0,9053.35
535,0,3,2,1,5,74,2,0,0,3000.0
536,1,3,0,4,6,48,4,0,0,6053.34
537,0,0,1,2,11,58,3,1,1,20406.2
538,0,3,3,3,13,71,5,1,1,0.01
539,0,1,0,1,10,76,8,0,0,11800.0
540,0,0,0,4,10,58,2,0,0,6000.0
541,1,3,2,5,8,69,24,0,0,1420.0
542,1,0,0,5,8,72,4,1,1,7000.0
543,0,1,2,5,12,33,9,2,1,500.0
544,1,3,0,2,6,29,1,0,0,10000.0
545,0,2,0,1,10,39,3,1,1,10000.0
546,1,3,3,4,7,45,5,0,0,0.01
547,0,0,0,4,9,68,2,0,0,12000.0
548,0,3,2,2,16,49,2,1,1,2000.0
549,0,1,3,1,7,74,8,0,0,0.01
550,1,0,0,2,14,45,2,0,0,7000.0
551,1,0,1,1,10,54,10,1,1,50050.0
552,0,3,2,3,2,63,1,0,0,5000.0
553,1,1,1,2,18,62,9,1,1,23000.0
554,0,0,0,2,9,32,1,1,1,10000.0
555,1,0,1,4,6,58,3,0,0,20610.65
556,1,4,2,1,5,58,8,0,0,3000.0
557,0,3,3,5,13,48,8,2,1,0.01
558,0,3,2,2,10,57,12,1,1,3053.35
559,1,3,0,3,17,57,8,0,0,12105.32
560,0,0,0,2,4,65,2,1,1,6000.0
561,1,3,0,2,8,75,2,1,1,6000.0
