"RB010","RB020","RB030","RB031","RB031_F","RB050","RB050_F","RB070","RB070_F","RB080","RB080_F","RB090","RB090_F","RB200","RB200_F","RB210","RB210_F","RB220","RB220_F","RB230","RB230_F","RB240","RB240_F","RB245","RB245_F","RB250","RB250_F","RB260","RB260_F","RB270","RB270_F","RL010","RL010_F","RL020","RL020_F","RL030","RL030_F","RL040","RL040_F","RL050","RL050_F","RL060","RL060_F","RL070","RL070_F","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2013","DE","503001",,,3057.58318739054,,,,1955,,"2",,"1",,"3",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","518201",,,3057.58318739054,,,,1933,,"1",,"1",,"1",,,,,,,,,,"11",,"5",,,,,,,,,,,,"30",,,,,,,,,,,,
"2013","DE","524601",,,3057.58318739054,,,,1977,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","568601",,,3057.58318739054,,,,1988,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","614001",,,3057.58318739054,,,,1961,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","621301",,,3057.58318739054,,,,1956,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","665301",,,3057.58318739054,,,,1957,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,"0",,,,,,,,,,,,,,
"2013","DE","692601",,,3057.58318739054,,,,1943,,"2",,"1",,"1",,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","848401",,,3057.58318739054,,,,1947,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","862301",,,3057.58318739054,,,,1968,,"2",,"1",,"3",,,,,,,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","876701",,,3057.58318739054,,,,1960,,"1",,"1",,"2",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","955001",,,3057.58318739054,,,,1945,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","982901",,,3057.58318739054,,,,1955,,"2",,"1",,"1",,,,,,,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","989101",,,3057.58318739054,,,,1985,,"1",,"1",,"3",,,,,,,,,,"11",,"5",,,,,,,,,,,,"0",,,,,,,,,,,,
"2013","DE","1056401",,,3057.58318739054,,,,1974,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,"0",,,,,,,,"0",,"0",,,,,,,,,,
"2013","DE","1147101",,,3057.58318739054,,,,1956,,"2",,"1",,"1",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1197501",,,3057.58318739054,,,,1942,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1230101",,,3057.58318739054,,,,1942,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,"0",,"0",,,,,,,,,,,,
"2013","DE","1253901",,,3057.58318739054,,,,1956,,"2",,"1",,"2",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1277601",,,3057.58318739054,,,,1944,,"2",,"1",,"3",,,,,,,,,,"11",,"5",,,,,,,,,,"0",,,,"0",,,,,,,,,,
"2013","DE","1333901",,,3057.58318739054,,,,1983,,"2",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,"0",,,,,,,,,,,,
"2013","DE","1370101",,,3057.58318739054,,,,1988,,"2",,"1",,"1",,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,
"2013","DE","1394001",,,3057.58318739054,,,,1953,,"1",,"1",,"3",,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1401701",,,3057.58318739054,,,,1973,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,"0",,,,,,,,,,,,,,,,,,,,
"2013","DE","1422701",,,3057.58318739054,,,,1959,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1486201",,,3057.58318739054,,,,1986,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,"0",,,,,,,,,,,,,,,,,,,,
"2013","DE","1532701",,,3057.58318739054,,,,1983,,"2",,"1",,"2",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1535501",,,3057.58318739054,,,,1976,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,"0",,,,,,,,,,,,,,,,,,,,
"2013","DE","1602101",,,3057.58318739054,,,,1970,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,"0",,,,,,,,,,,,
"2013","DE","1613601",,,3057.58318739054,,,,1947,,"2",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"8",,,,,,,,,,
"2013","DE","1613701",,,3057.58318739054,,,,1936,,"1",,"1",,"3",,,,,,,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1628301",,,3057.58318739054,,,,1963,,"2",,"1",,"2",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1647201",,,3057.58318739054,,,,1962,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1691501",,,3057.58318739054,,,,1957,,"2",,"1",,"1",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1695701",,,3057.58318739054,,,,1967,,"1",,"1",,"1",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1785601",,,3057.58318739054,,,,1967,,"1",,"1",,"1",,,,,,,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1786401",,,3057.58318739054,,,,1952,,"2",,"1",,"1",,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","1793201",,,3057.58318739054,,,,1970,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,"20",,,,,,"0",,,,,,,,,,,,
"2013","DE","1900301",,,3057.58318739054,,,,1970,,"1",,"1",,"4",,,,,,,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2018301",,,3057.58318739054,,,,1941,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2031401",,,3057.58318739054,,,,1961,,"2",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,"0",,,,,,,,,,,,,,
"2013","DE","2082601",,,3057.58318739054,,,,1983,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","2160101",,,3057.58318739054,,,,1942,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2173901",,,3057.58318739054,,,,1932,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2222301",,,3057.58318739054,,,,1952,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2237401",,,3057.58318739054,,,,1945,,"2",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2251801",,,3057.58318739054,,,,1959,,"1",,"1",,"3",,,,,,,,,,"11",,,,,,"0",,,,,,,,,,,,,,,,,,,,
"2013","DE","2290301",,,3057.58318739054,,,,1971,,"2",,"2",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,"0",,,,,,,,,,,,
"2013","DE","2303301",,,3057.58318739054,,,,1963,,"2",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"3",,,,,,,,,,
"2013","DE","2312501",,,3057.58318739054,,,,1963,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2355301",,,3057.58318739054,,,,1937,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2363401",,,3057.58318739054,,,,1966,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2385901",,,3057.58318739054,,,,1984,,"1",,"1",,"4",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2402701",,,3057.58318739054,,,,1946,,"1",,"1",,"3",,,,,,,,,,,,"4",,,,,,,,,,"25",,,,,,,,,,,,,,
"2013","DE","2418601",,,3057.58318739054,,,,1938,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,"15",,,,,,,,,,,,,,,,
"2013","DE","2457101",,,3057.58318739054,,,,1933,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","2512701",,,3057.58318739054,,,,1985,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","2535701",,,3057.58318739054,,,,1960,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,"0",,,,,,,,,,,,,,
"2013","DE","2575301",,,3057.58318739054,,,,1936,,"1",,"1",,"3",,,,,,,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2577901",,,3057.58318739054,,,,1965,,"1",,"1",,"3",,,,,,,,,,"11",,"5",,,,,,,,,,"0",,,,,,,,,,,,,,
"2013","DE","2636201",,,3057.58318739054,,,,1959,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2729701",,,3057.58318739054,,,,1983,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2779301",,,3057.58318739054,,,,1986,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"10",,,,,,,,,,
"2013","DE","2806101",,,3057.58318739054,,,,1956,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2815301",,,3057.58318739054,,,,1936,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2837201",,,3057.58318739054,,,,1939,,"2",,"1",,"1",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2871501",,,3057.58318739054,,,,1960,,"2",,"1",,"1",,,,,,,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","2880001",,,3057.58318739054,,,,1951,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,"0",,,,"4",,,,,,,,,,,,,,,,
"2013","DE","3008201",,,3057.58318739054,,,,1963,,"2",,"1",,"4",,,,,,,,,,"11",,,,,,"0",,,,,,,,,,,,,,,,,,,,
"2013","DE","3029901",,,3057.58318739054,,,,1936,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3032401",,,3057.58318739054,,,,1969,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,"40",,,,,,,,,,,,,,,,,,
"2013","DE","3050401",,,3057.58318739054,,,,1935,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3076601",,,3057.58318739054,,,,1948,,"2",,"1",,"1",,,,,,,,,,"11",,,,,,,,,,,,"4",,,,,,,,,,,,,,
"2013","DE","3166801",,,3057.58318739054,,,,1942,,"2",,"1",,"4",,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3197901",,,3057.58318739054,,,,1969,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3221601",,,3057.58318739054,,,,1973,,"1",,"1",,"4",,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3228401",,,3057.58318739054,,,,1986,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","3237601",,,3057.58318739054,,,,1941,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3246901",,,3057.58318739054,,,,1973,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3318601",,,3057.58318739054,,,,1943,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3330701",,,3057.58318739054,,,,1978,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","3369401",,,3057.58318739054,,,,1983,,"2",,"2",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,"0",,,,,,,,,,,,
"2013","DE","3380801",,,3057.58318739054,,,,1980,,"2",,"1",,"3",,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3393601",,,3057.58318739054,,,,1988,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,"25",,,,,,,,,,,,,,,,,,
"2013","DE","3420901",,,3057.58318739054,,,,1973,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3424701",,,3057.58318739054,,,,1937,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3436101",,,3057.58318739054,,,,1943,,"2",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3490601",,,3057.58318739054,,,,1956,,"2",,"1",,"1",,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3522501",,,3057.58318739054,,,,1986,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3552001",,,3057.58318739054,,,,1980,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3583601",,,3057.58318739054,,,,1935,,"2",,"1",,"3",,,,,,,,,,,,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","3589501",,,3057.58318739054,,,,1955,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3612001",,,3057.58318739054,,,,1986,,"1",,"1",,"4",,,,,,,,,,"11",,,,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","3701001",,,3057.58318739054,,,,1980,,"2",,"1",,"3",,,,,,,,,,"11",,,,,,,,,,,,,,"0",,,,,,,,,,,,
"2013","DE","3709001",,,3057.58318739054,,,,1932,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,"21",,,,,,,,,,,,,,,,,,
"2013","DE","3737201",,,3057.58318739054,,,,1989,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3739701",,,3057.58318739054,,,,1969,,"1",,"1",,"4",,,,,,,,,,,,"4",,,,,,"23",,,,"0",,,,,,,,,,,,,,
"2013","DE","3785601",,,3057.58318739054,,,,1956,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3816901",,,3057.58318739054,,,,1980,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3822701",,,3057.58318739054,,,,1948,,"2",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3852501",,,3057.58318739054,,,,1973,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3889901",,,3057.58318739054,,,,1957,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3918501",,,3057.58318739054,,,,1970,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3925601",,,3057.58318739054,,,,1944,,"2",,"1",,"3",,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3954601",,,3057.58318739054,,,,1947,,"2",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,"35",,,,,,,,,,,,,,
"2013","DE","3966301",,,3057.58318739054,,,,1970,,"1",,"2",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3968601",,,3057.58318739054,,,,1950,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","3993701",,,3057.58318739054,,,,1945,,"2",,"1",,"1",,,,,,,,,,"11",,,,,,,,"27",,,,,,,,,,,,,,,,,,
"2013","DE","3999201",,,3057.58318739054,,,,1959,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,"0",,,,,,,,,,,,,,
"2013","DE","4028801",,,3057.58318739054,,,,1954,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4059801",,,3057.58318739054,,,,1959,,"1",,"2",,"1",,,,,,,,,,"11",,"5",,,,,,,,,,"0",,,,,,,,,,,,,,
"2013","DE","4125701",,,3057.58318739054,,,,1949,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","4156301",,,3057.58318739054,,,,1968,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4210901",,,3057.58318739054,,,,1958,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,"0",,"0",,,,,,,,,,
"2013","DE","4232401",,,3057.58318739054,,,,1972,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,"0",,,,,,,,,,,,,,,,
"2013","DE","4241301",,,3057.58318739054,,,,1976,,"1",,"1",,"2",,,,,,,,,,"11",,"4",,,,,,"30",,,,,,,,,,,,,,,,,,
"2013","DE","4255301",,,3057.58318739054,,,,1950,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4286801",,,3057.58318739054,,,,1986,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,"30",,,,,,,,,,,,,,,,,,
"2013","DE","4314301",,,3057.58318739054,,,,1958,,"1",,"1",,"3",,,,,,,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4327301",,,3057.58318739054,,,,1980,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4332501",,,3057.58318739054,,,,1946,,"1",,"2",,"3",,,,,,,,,,"11",,"4",,,,"0",,,,,,,,,,"0",,,,,,,,,,
"2013","DE","4444801",,,3057.58318739054,,,,1964,,"1",,"1",,"4",,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,
"2013","DE","4485701",,,3057.58318739054,,,,1960,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4518201",,,3057.58318739054,,,,1970,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4529301",,,3057.58318739054,,,,1968,,"2",,"1",,"2",,,,,,,,,,"11",,"5",,,,,,,,,,"0",,,,,,,,,,,,,,
"2013","DE","4582801",,,3057.58318739054,,,,1936,,"1",,"1",,"1",,,,,,,,,,"11",,,,,,,,"25",,,,,,"0",,"1",,,,,,,,,,
"2013","DE","4614501",,,3057.58318739054,,,,1971,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,"0",,,,,,,,,,,,,,,,
"2013","DE","4636501",,,3057.58318739054,,,,1947,,"2",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,"0",,,,,,,,,,,,,,
"2013","DE","4764201",,,3057.58318739054,,,,1969,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4768901",,,3057.58318739054,,,,1963,,"2",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","4772801",,,3057.58318739054,,,,1941,,"2",,"1",,"2",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4784601",,,3057.58318739054,,,,1959,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4786801",,,3057.58318739054,,,,1981,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4793401",,,3057.58318739054,,,,1959,,"1",,"1",,"4",,,,,,,,,,"11",,"4",,,,,,,,"0",,,,,,,,,,,,,,,,
"2013","DE","4822001",,,3057.58318739054,,,,1939,,"2",,"1",,"2",,,,,,,,,,"11",,"4",,,,"0",,,,,,,,,,,,,,,,,,,,
"2013","DE","4864801",,,3057.58318739054,,,,1953,,"1",,"1",,"3",,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4876401",,,3057.58318739054,,,,1938,,"2",,"1",,"4",,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4925901",,,3057.58318739054,,,,1981,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","4935801",,,3057.58318739054,,,,1977,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
"2013","DE","4957601",,,3057.58318739054,,,,1984,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,"5",,,,,,,,,,,,,,
"2013","DE","5015601",,,3057.58318739054,,,,1942,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","5046901",,,3057.58318739054,,,,1960,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,"0",,"0",,,,,,,,,,
"2013","DE","5049501",,,3057.58318739054,,,,1957,,"1",,"1",,"4",,,,,,,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","5164101",,,3057.58318739054,,,,1948,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","5203501",,,3057.58318739054,,,,1939,,"2",,"1",,"2",,,,,,,,,,"11",,"4",,,,,,,,"20",,,,,,,,,,,,,,,,
"2013","DE","5251501",,,3057.58318739054,,,,1932,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,"0",,,,,,,,,,,,,,,,
"2013","DE","5268901",,,3057.58318739054,,,,1932,,"2",,"1",,"3",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","5293401",,,3057.58318739054,,,,1951,,"2",,"1",,"1",,,,,,,,,,"11",,,,,,,,,,,,,,"0",,,,,,,,,,,,
"2013","DE","5366701",,,3057.58318739054,,,,1989,,"1",,"1",,"1",,,,,,,,,,"11",,"4",,,,,,,,,,,,"0",,"0",,,,,,,,,,
"2013","DE","5398801",,,3057.58318739054,,,,1964,,"1",,"1",,"4",,,,,,,,,,"11",,"5",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","5447901",,,3057.58318739054,,,,1951,,"2",,"1",,"4",,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,
"2013","DE","5479501",,,3057.58318739054,,,,1953,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,"0",,,,,,,,,,,,
"2013","DE","5558601",,,3057.58318739054,,,,1950,,"1",,"1",,"3",,,,,,,,,,"11",,"4",,,,,,,,,,,,,,"0",,,,,,,,,,
