,PB030: PERSONAL ID,PB020: COUNTRY,PB010: YEAR OF THE SURVEY,PB140: YEAR OF BIRTH,PB150: SEX,PB190: MARITAL STATUS,PB200: CONSENSUAL UNION,PB220A: CITIZENSHIP,PE010: CURRENT EDUCATION ACTIVITY,PE040: HIGHEST ISCED LEVEL ATTAINED,PL031: SELF-DEFINED CURRENT ECONOMIC STATUS,PL035: WORKED AT LEAST 1 HOUR DURING THE PREVIOUS WEEK,PL051: OCCUPATION (ISCO-08 (COM)),PL150: MANAGERIAL POSITION,PH010: GENERAL HEALTH,PH020: SUFFER FROM ANY A CHRONIC (LONG-STANDING) ILLNESS OR CONDITION,PH030: LIMITATION IN ACTIVITIES BECAUSE OF HEALTH PROBLEMS,PH040: UNMET NEED FOR MEDICAL EXAMINATION OR TREATMENT,PH060: UNMET NEED FOR DENTAL EXAMINATION OR TREATMENT,PY010G_PY020G_PY021G_PY050G: EMPLOYEE INCOME,PY035G: CONTRIBUTIONS TO INDIVIDUAL PRIVATE PENSION PLANS,PY080G: PENSION FROM INDIVIDUAL PRIVATE PLANS,PY090G++: SOCIAL BENEFITS,PY090G: UNEMPLOYMENT BENEFITS,PY100G: OLD-AGE BENEFITS,PY110G: SURVIVOR’ BENEFITS,PY120G: SICKNESS BENEFITS,PY130G: DISABILITY BENEFITS,PY140G: EDUCATION-RELATED ALLOWANCES,PD020: Replace worn-out clothes by some new (not second-hand) ones,PD030: Two pairs of properly fitting shoes,PD050: Get-together with friends/family (relatives) for a drink/meal at least once a month,PD060: Regularly participate in a leisure activity,PD070: Spend a small amount of money each week on yourself,PD080: Internet connection for personal use at home,PW130: TRUST IN THE POLITICAL SYSTEM
11,256901,DE,2013,1960,1,2.0,3,0,2,5.0,1.0,1,32.0,1.0,2.0,1.0,3.0,2,2,35956.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,-1.0
12,402001,DE,2013,1948,2,2.0,1,0,2,3.0,10.0,2,52.0,2.0,3.0,2.0,3.0,2,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,8.0
13,407501,DE,2013,1963,2,2.0,1,0,2,5.0,2.0,1,42.0,1.0,1.0,1.0,3.0,2,2,48936.98,984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0
14,451901,DE,2013,1965,1,2.0,3,0,1,3.0,2.0,1,44.0,2.0,3.0,2.0,2.0,2,2,18078.05,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0
15,481201,DE,2013,1957,2,2.0,1,0,2,2.0,2.0,2,81.0,2.0,4.0,2.0,3.0,2,2,2277.98,810,0.0,8314.64,8314.64,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0
16,503001,DE,2013,1955,2,4.0,1,0,2,3.0,2.0,1,31.0,2.0,2.0,2.0,1.0,2,2,26277.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
17,518201,DE,2013,1933,1,1.0,1,0,1,5.0,7.0,2,22.0,2.0,2.0,2.0,1.0,2,2,0.0,0,0.0,22285.260000000002,0.0,16352.26,5933.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0
18,524601,DE,2013,1977,1,1.0,1,0,2,5.0,1.0,1,23.0,2.0,2.0,2.0,3.0,2,2,64909.76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
19,568601,DE,2013,1988,2,1.0,1,0,1,3.0,1.0,2,41.0,2.0,5.0,2.0,1.0,2,2,6071.01,743,0.0,5655.76,932.51,0.0,0.0,0.0,0.0,4723.25,1.0,1.0,1.0,3.0,1.0,1.0,9.0
20,614001,DE,2013,1961,1,2.0,3,0,2,3.0,1.0,1,73.0,2.0,2.0,-1.0,3.0,2,2,37060.32,2325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,10.0
21,621301,DE,2013,1956,2,5.0,1,0,1,3.0,8.0,1,93.0,-1.0,1.0,1.0,3.0,2,2,0.0,0,0.0,6740.05,0.0,0.0,0.0,0.0,6740.05,0.0,1.0,1.0,3.0,3.0,1.0,1.0,5.0
22,665301,DE,2013,1957,1,2.0,3,0,2,3.0,1.0,1,72.0,1.0,1.0,2.0,3.0,2,2,39885.44,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
23,692601,DE,2013,1943,2,2.0,3,0,2,5.0,7.0,2,33.0,2.0,2.0,2.0,3.0,2,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0
24,848401,DE,2013,1947,2,5.0,1,0,2,3.0,7.0,2,41.0,2.0,3.0,2.0,3.0,2,2,0.0,556,0.0,20891.11,0.0,20891.11,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,862301,DE,2013,1968,2,2.0,3,0,2,4.0,10.0,1,42.0,-1.0,2.0,1.0,3.0,2,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
26,876701,DE,2013,1960,1,5.0,1,0,2,2.0,5.0,1,61.0,2.0,3.0,2.0,-1.0,2,-1,4573.9,2504,0.0,1751.31,1132.61,0.0,0.0,618.7,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
27,955001,DE,2013,1945,2,2.0,1,0,2,2.0,7.0,1,42.0,2.0,3.0,-1.0,3.0,2,2,0.0,0,0.0,24787.09,0.0,24787.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0
28,982901,DE,2013,1955,2,2.0,3,0,2,3.0,7.0,1,32.0,2.0,4.0,2.0,3.0,2,2,0.0,2044,0.0,14525.0,0.0,14525.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0
29,989101,DE,2013,1985,1,1.0,1,0,1,3.0,6.0,1,-1.0,2.0,2.0,2.0,2.0,2,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
30,1056401,DE,2013,1974,1,2.0,3,0,2,3.0,1.0,1,94.0,1.0,3.0,2.0,2.0,1,2,47164.52,1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0
31,1147101,DE,2013,1956,2,1.0,1,0,2,3.0,1.0,1,96.0,2.0,2.0,2.0,3.0,2,2,36101.13,3682,0.0,1960.93,0.0,0.0,0.0,1960.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
32,1197501,DE,2013,1942,2,2.0,3,0,2,3.0,7.0,2,32.0,2.0,2.0,2.0,1.0,2,2,0.0,1755,0.0,13844.27,0.0,13844.27,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
33,1230101,DE,2013,1942,2,5.0,2,0,2,3.0,7.0,2,41.0,2.0,1.0,1.0,3.0,2,2,3446.49,0,0.0,18506.89,0.0,0.0,0.0,0.0,18506.89,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0
34,1253901,DE,2013,1956,2,5.0,2,1,2,3.0,1.0,2,71.0,1.0,2.0,2.0,2.0,2,2,48175.6,250,0.0,805.75,805.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
35,1277601,DE,2013,1944,2,2.0,1,0,2,2.0,7.0,2,41.0,2.0,2.0,2.0,3.0,2,2,0.0,1020,0.0,14109.16,0.0,14109.16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0
36,1333901,DE,2013,1983,2,1.0,1,0,2,3.0,1.0,1,43.0,1.0,1.0,2.0,3.0,2,2,61810.41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,9.0
37,1370101,DE,2013,1988,2,1.0,1,0,2,3.0,6.0,1,32.0,2.0,3.0,2.0,3.0,2,2,3612.07,139,0.0,4213.22,0.0,0.0,0.0,0.0,0.0,4213.22,2.0,2.0,1.0,3.0,1.0,1.0,5.0
38,1394001,DE,2013,1953,1,5.0,3,0,2,5.0,1.0,1,71.0,1.0,1.0,2.0,3.0,2,2,31788.25,971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0
40,1422701,DE,2013,1959,1,2.0,3,1,2,3.0,1.0,1,94.0,1.0,2.0,2.0,3.0,2,2,63806.16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0
41,1486201,DE,2013,1986,2,1.0,3,0,1,3.0,6.0,2,25.0,1.0,2.0,2.0,-1.0,2,2,878.35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
42,1532701,DE,2013,1983,2,2.0,1,0,2,4.0,2.0,2,91.0,2.0,3.0,2.0,2.0,2,2,4681.71,0,0.0,11382.41,0.0,11382.41,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0
44,1602101,DE,2013,1970,1,2.0,1,0,2,5.0,1.0,1,33.0,1.0,2.0,2.0,3.0,2,2,72227.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0
45,1613601,DE,2013,1947,2,4.0,1,0,2,2.0,7.0,2,92.0,2.0,5.0,2.0,1.0,2,2,0.0,0,0.0,5883.86,0.0,5883.86,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0
46,1613701,DE,2013,1936,1,2.0,3,0,2,2.0,7.0,1,61.0,2.0,2.0,2.0,1.0,2,2,0.0,0,0.0,19726.31,0.0,19726.31,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
47,1628301,DE,2013,1963,2,2.0,3,0,1,4.0,10.0,2,41.0,-1.0,2.0,2.0,-1.0,2,2,0.0,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0
48,1647201,DE,2013,1962,2,2.0,1,0,1,3.0,5.0,2,42.0,2.0,2.0,2.0,3.0,2,2,0.0,0,0.0,6003.64,6003.64,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0
49,1691501,DE,2013,1957,2,2.0,1,0,2,2.0,10.0,1,41.0,2.0,3.0,1.0,3.0,2,2,0.0,976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
50,1695701,DE,2013,1967,1,2.0,1,0,2,5.0,3.0,2,13.0,2.0,4.0,1.0,3.0,2,2,18205.06,2822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,-1.0
51,1785601,DE,2013,1967,1,5.0,1,0,2,4.0,1.0,1,74.0,2.0,2.0,2.0,3.0,2,2,43224.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,7.0
52,1786401,DE,2013,1952,2,2.0,3,0,2,5.0,1.0,1,41.0,2.0,2.0,2.0,2.0,2,2,44004.23,3588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0
53,1793201,DE,2013,1970,2,2.0,3,0,1,3.0,10.0,2,33.0,2.0,1.0,1.0,2.0,2,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
55,2018301,DE,2013,1941,2,2.0,1,0,2,3.0,4.0,2,52.0,2.0,2.0,2.0,2.0,2,2,1702.38,804,0.0,588.54,588.54,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,7.0
56,2031401,DE,2013,1961,2,2.0,1,0,2,4.0,1.0,1,96.0,2.0,2.0,1.0,1.0,2,2,20589.7,1338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
57,2082601,DE,2013,1983,1,1.0,3,0,2,3.0,1.0,2,72.0,2.0,2.0,2.0,3.0,2,2,16791.52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0
58,2160101,DE,2013,1942,2,2.0,3,0,2,2.0,7.0,1,31.0,2.0,4.0,2.0,2.0,2,2,0.0,0,0.0,15464.56,0.0,15464.56,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0
59,2173901,DE,2013,1932,2,4.0,1,0,1,3.0,7.0,1,42.0,2.0,2.0,1.0,3.0,2,2,0.0,72,0.0,11519.69,0.0,11519.69,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,-1.0
60,2222301,DE,2013,1952,1,1.0,2,0,2,3.0,5.0,1,81.0,-1.0,3.0,1.0,2.0,2,2,0.0,185,0.0,7089.12,7089.12,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0
61,2237401,DE,2013,1945,2,2.0,1,0,2,5.0,7.0,2,21.0,2.0,3.0,1.0,3.0,2,2,0.0,1431,0.0,11209.56,0.0,11209.56,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
62,2251801,DE,2013,1959,1,1.0,3,0,2,3.0,1.0,1,81.0,2.0,3.0,2.0,3.0,2,2,36183.2,1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
63,2290301,DE,2013,1971,2,2.0,1,0,2,5.0,10.0,2,21.0,-1.0,1.0,1.0,2.0,2,2,4037.71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
65,2312501,DE,2013,1963,1,2.0,1,0,2,4.0,2.0,1,75.0,1.0,2.0,2.0,3.0,2,2,47317.07,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0
66,2355301,DE,2013,1937,2,4.0,1,0,2,2.0,7.0,1,52.0,-1.0,2.0,2.0,2.0,2,2,0.0,1700,0.0,12160.62,0.0,12160.62,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0
67,2363401,DE,2013,1966,1,1.0,2,0,1,5.0,1.0,1,23.0,2.0,3.0,2.0,-1.0,2,2,39431.69,1742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0
68,2385901,DE,2013,1984,1,2.0,1,0,2,3.0,1.0,1,43.0,2.0,2.0,2.0,1.0,2,2,100418.76,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,3.0,9.0
69,2402701,DE,2013,1946,1,4.0,3,0,2,3.0,7.0,1,73.0,2.0,2.0,2.0,3.0,2,2,0.0,1500,0.0,23442.69,0.0,23442.69,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0
70,2418601,DE,2013,1938,2,2.0,1,0,2,2.0,7.0,2,23.0,2.0,4.0,1.0,3.0,2,2,0.0,271,0.0,17752.09,0.0,17752.09,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,-1.0
71,2457101,DE,2013,1933,1,2.0,2,0,2,3.0,7.0,1,74.0,1.0,2.0,2.0,2.0,2,2,0.0,1699,0.0,35640.43,0.0,35640.43,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,6.0
73,2535701,DE,2013,1960,2,2.0,1,0,2,3.0,1.0,1,32.0,2.0,2.0,2.0,1.0,2,2,8133.64,7129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,2.0,1.0,10.0
74,2575301,DE,2013,1936,1,4.0,3,0,2,3.0,7.0,1,33.0,1.0,2.0,2.0,3.0,2,2,0.0,7980,0.0,33046.18,0.0,0.0,33046.18,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0
75,2577901,DE,2013,1965,1,2.0,3,0,2,3.0,2.0,1,32.0,2.0,2.0,2.0,2.0,2,2,42761.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0
76,2636201,DE,2013,1959,1,1.0,1,0,2,5.0,1.0,2,31.0,2.0,3.0,2.0,3.0,2,2,15909.16,4990,0.0,3017.48,3017.48,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0
77,2729701,DE,2013,1983,2,1.0,3,0,2,3.0,1.0,1,33.0,2.0,2.0,2.0,2.0,2,2,27427.66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
78,2779301,DE,2013,1986,1,1.0,1,0,2,5.0,1.0,2,23.0,2.0,2.0,1.0,2.0,2,2,4622.83,6190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,7.0
81,2837201,DE,2013,1939,2,2.0,3,0,2,3.0,7.0,1,42.0,2.0,2.0,2.0,3.0,2,2,23665.26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0
83,2880001,DE,2013,1951,2,2.0,1,0,2,3.0,10.0,2,52.0,-1.0,2.0,-1.0,3.0,1,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
84,3008201,DE,2013,1963,2,2.0,1,0,2,3.0,2.0,2,52.0,2.0,2.0,2.0,3.0,1,2,0.0,2160,0.0,13224.79,13224.79,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0
85,3029901,DE,2013,1936,2,4.0,3,0,1,5.0,7.0,2,33.0,2.0,1.0,2.0,2.0,2,2,0.0,134,0.0,4169.39,0.0,4169.39,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0
86,3032401,DE,2013,1969,1,2.0,1,0,2,5.0,1.0,1,74.0,2.0,2.0,2.0,3.0,2,2,52515.18,2567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
87,3050401,DE,2013,1935,1,2.0,2,0,2,3.0,7.0,2,41.0,2.0,2.0,1.0,2.0,2,2,0.0,544,0.0,27207.42,0.0,27207.42,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0
88,3076601,DE,2013,1948,2,2.0,3,0,2,5.0,7.0,1,-1.0,2.0,3.0,2.0,3.0,1,2,0.0,0,5545.64,22896.78,0.0,22896.78,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
89,3166801,DE,2013,1942,2,2.0,1,0,2,3.0,7.0,2,31.0,-1.0,1.0,1.0,3.0,2,2,0.0,360,0.0,3717.19,0.0,3717.19,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0
90,3197901,DE,2013,1969,1,2.0,1,0,2,5.0,1.0,1,31.0,2.0,2.0,2.0,3.0,2,2,108264.14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0
92,3228401,DE,2013,1986,1,1.0,2,0,1,4.0,6.0,2,21.0,2.0,3.0,1.0,3.0,2,2,0.0,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
93,3237601,DE,2013,1941,2,2.0,1,0,2,5.0,7.0,2,32.0,2.0,3.0,-1.0,1.0,2,2,0.0,1250,0.0,19829.8,0.0,19829.8,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,9.0
94,3246901,DE,2013,1973,1,2.0,3,0,2,5.0,1.0,1,24.0,2.0,1.0,2.0,2.0,2,2,36866.84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0
95,3318601,DE,2013,1943,2,4.0,1,0,2,3.0,7.0,1,92.0,2.0,3.0,2.0,2.0,-1,2,0.0,0,0.0,4949.86,0.0,4949.86,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,9.0
96,3330701,DE,2013,1978,1,2.0,1,0,2,4.0,1.0,1,32.0,1.0,2.0,2.0,3.0,2,2,38819.34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0
97,3369401,DE,2013,1983,2,1.0,1,0,2,3.0,1.0,1,32.0,1.0,2.0,2.0,3.0,1,2,25124.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
98,3380801,DE,2013,1980,2,2.0,2,0,2,4.0,10.0,2,42.0,2.0,3.0,1.0,3.0,2,2,24865.42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
99,3393601,DE,2013,1988,2,1.0,3,1,2,3.0,1.0,1,41.0,2.0,2.0,2.0,2.0,2,2,33360.24,4235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0
100,3420901,DE,2013,1973,1,2.0,1,1,2,4.0,1.0,1,32.0,2.0,2.0,2.0,3.0,2,2,59463.19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0
101,3424701,DE,2013,1937,2,2.0,1,0,1,2.0,7.0,2,52.0,2.0,2.0,2.0,3.0,2,-1,0.0,0,0.0,3092.08,0.0,3092.08,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,9.0
102,3436101,DE,2013,1943,2,2.0,1,0,2,5.0,7.0,1,31.0,1.0,3.0,1.0,3.0,2,2,0.0,1227,0.0,27426.769999999997,0.0,9995.08,17431.69,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0
103,3490601,DE,2013,1956,2,2.0,3,0,2,2.0,2.0,2,33.0,1.0,1.0,-1.0,3.0,2,2,33681.82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,-1.0
