"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2012","BE",5301,616.136363636364,"4",1985,"1","1","4","1","11","NA","NA","28","NA","NA","NA","NA",27,26,530,"0.9166666667","1","0","0"
"2012","BE",5421,616.136363636364,"3",1942,"2","1","4","1","NA","NA","NA","NA","NA","NA","NA","NA",70,69,542,"1","0","0","111"
"2012","BE",5541,616.136363636364,"2",1978,"2","1","3","4","11","NA","NA","NA","NA","NA","0","0",34,33,554,"99","0","0","101"
"2012","BE",5791,616.136363636364,"3",1976,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","0",35,35,579,"99","1","0","0"
"2012","BE",5831,616.136363636364,"4",1943,"2","1","1","4","11","NA","NA","NA","NA","0","NA","0",68,68,583,"0.8","2","0","0"
"2012","BE",5871,616.136363636364,"1",1938,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",73,73,587,"99","0","0","0"
"2012","BE",5911,616.136363636364,"1",1979,"1","1","1","4","11","NA","NA","30","NA","NA","0","NA",33,32,591,"0.5142857143","2","0","111"
"2012","BE",5941,616.136363636364,"1",1982,"1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA",30,29,594,"1","1","0","0"
"2012","BE",6351,616.136363636364,"3",1986,"1","1","3","1","11","NA","NA","NA","NA","NA","NA","12",26,25,635,"0","0","0","0"
"2012","BE",6471,616.136363636364,"1",1938,"2","1","1","1","NA","NA","NA","NA","NA","0","NA","NA",73,73,647,"0.7857142857","0","1","0"
"2012","BE",6521,616.136363636364,"3",1973,"2","1","3","4","NA","NA","NA","NA","NA","NA","NA","NA",39,38,652,"0.9285714286","1","0","0"
"2012","BE",6581,616.136363636364,"4",1968,"1","1","1","1","NA","NA","28","NA","8","0","NA","NA",43,43,658,"0.6666666667","0","0","0"
"2012","BE",6631,616.136363636364,"2",1948,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",64,63,663,"0","1","0","0"
"2012","BE",7031,616.136363636364,"3",1978,"1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA",34,33,703,"0.5","0","0","0"
"2012","BE",7091,616.136363636364,"4",1943,"2","1","3","1","11","NA","NA","NA","NA","NA","0","NA",68,68,709,"0","2","0","10"
"2012","BE",7471,616.136363636364,"2",1931,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,747,"0","1","0","0"
"2012","BE",7521,616.136363636364,"3",1931,"2","1","4","1","11","NA","NA","32","NA","NA","NA","NA",80,80,752,"99","0","0","0"
"2012","BE",7691,616.136363636364,"2",1931,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,769,"0","0","0","101"
"2012","BE",8081,616.136363636364,"4",1931,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,808,"0.7708550384","0","0","0"
"2012","BE",8131,616.136363636364,"1",1931,"2","1","1","1","11","NA","NA","NA","NA","0","NA","NA",80,80,813,"0.4722222222","0","0","0"
"2012","BE",8181,616.136363636364,"2",1931,"2","1","2","1","NA","NA","NA","NA","NA","NA","NA","NA",80,80,818,"99","1","0","0"
"2012","BE",8441,616.136363636364,"3",1933,"2","1","4","1","11","NA","NA","28","NA","NA","0","NA",79,78,844,"1","0","0","0"
"2012","BE",8581,616.136363636364,"1",1940,"2","1","4","1","NA","NA","NA","NA","NA","NA","NA","NA",72,71,858,"1","1","0","0"
"2012","BE",8601,616.136363636364,"3",1973,"2","1","2","1","11","NA","NA","NA","NA","NA","0","NA",38,38,860,"0.3924008347","0","0","0"
"2012","BE",8611,616.136363636364,"2",1979,"1","1","4","1","11","NA","NA","NA","0","NA","NA","NA",32,32,861,"0.6297619048","0","0","100"
"2012","BE",8811,616.136363636364,"4",1957,"2","1","3","1","NA","NA","NA","NA","NA","NA","NA","NA",55,54,881,"0.7678571429","0","0","100"
"2012","BE",9021,616.136363636364,"1",1952,"1","1","4","1","NA","NA","NA","NA","NA","NA","NA","0",59,59,902,"1","0","0","0"
"2012","BE",9061,616.136363636364,"2",1974,"1","1","4","4","NA","NA","NA","NA","NA","NA","NA","NA",38,37,906,"0.9285714286","0","0","0"
"2012","BE",9111,616.136363636364,"1",1958,"1","1","1","1","11","NA","NA","NA","NA","NA","0","NA",54,53,911,"0","0","0","0"
"2012","BE",9331,616.136363636364,"2",1986,"2","1","4","4","11","NA","NA","NA","NA","NA","NA","NA",25,25,933,"1","2","1","0"
"2012","BE",9511,616.136363636364,"4",1979,"1","1","4","4","11","NA","NA","NA","NA","NA","NA","NA",32,32,951,"0.6714285714","0","0","0"
"2012","BE",9631,616.136363636364,"1",1975,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",36,36,963,"0.6944444444","0","0","110"
"2012","BE",9731,616.136363636364,"2",1982,"2","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",30,29,973,"0.419047619","2","0","0"
"2012","BE",9811,616.136363636364,"3",1931,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","0",80,80,981,"0.8333333333","1","0","0"
"2012","BE",9861,616.136363636364,"1",1982,"1","1","3","1","NA","NA","NA","NA","NA","NA","NA","NA",30,29,986,"99","2","0","0"
"2012","BE",9911,616.136363636364,"3",1965,"1","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",47,46,991,"0","2","0","0"
"2012","BE",10171,616.136363636364,"4",1953,"2","1","4","4","11","NA","NA","NA","NA","NA","NA","NA",59,58,1017,"99","2","0","0"
"2012","BE",10231,616.136363636364,"3",1968,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",43,43,1023,"0","2","0","100"
"2012","BE",10241,616.136363636364,"3",1952,"2","1","4","4","NA","NA","NA","NA","NA","NA","NA","NA",59,59,1024,"99","0","1","0"
"2012","BE",10491,616.136363636364,"1",1954,"1","1","3","4","11","NA","NA","NA","NA","NA","NA","NA",58,57,1049,"0.75","2","0","0"
"2012","BE",10551,616.136363636364,"1",1949,"2","1","1","1","NA","NA","NA","NA","NA","0","NA","NA",63,62,1055,"0.9","0","0","0"
"2012","BE",10621,616.136363636364,"1",1977,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",34,34,1062,"0.6666666667","2","0","0"
"2012","BE",10641,616.136363636364,"2",1940,"2","1","3","1","11","NA","NA","32","NA","NA","NA","NA",71,71,1064,"0.9583333333","0","0","0"
"2012","BE",10841,616.136363636364,"4",1982,"1","1","1","4","11","NA","NA","NA","12","NA","NA","NA",30,29,1084,"0","0","0","0"
"2012","BE",10961,616.136363636364,"1",1965,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",46,46,1096,"0","0","0","0"
"2012","BE",11691,616.136363636364,"3",1968,"1","1","3","1","11","NA","32","NA","NA","NA","0","NA",43,43,1169,"0.7857142857","0","0","0"
"2012","BE",12201,616.136363636364,"1",1953,"1","1","4","1","NA","NA","NA","NA","NA","NA","NA","0",59,58,1220,"0.8","0","0","0"
"2012","BE",12251,616.136363636364,"3",1960,"1","1","1","1","11","NA","NA","NA","0","NA","NA","NA",51,51,1225,"0.5","2","0","0"
"2012","BE",12401,616.136363636364,"1",1982,"1","1","4","1","11","NA","NA","NA","NA","0","NA","NA",29,29,1240,"0.875","0","0","0"
"2012","BE",12621,616.136363636364,"4",1941,"1","1","1","1","11","NA","NA","NA","NA","0","NA","NA",70,70,1262,"0","0","0","100"
"2012","BE",13011,616.136363636364,"1",1948,"2","1","3","4","11","NA","NA","NA","NA","NA","NA","0",63,63,1301,"1","2","0","10"
"2012","BE",13121,616.136363636364,"4",1982,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",30,29,1312,"0.6202380952","1","0","0"
"2012","BE",13571,616.136363636364,"4",1978,"2","1","2","1","11","NA","NA","NA","NA","NA","0","NA",33,33,1357,"99","0","0","0"
"2012","BE",13611,616.136363636364,"4",1983,"2","1","3","1","11","NA","32","NA","NA","NA","NA","NA",29,28,1361,"99","2","0","0"
"2012","BE",13751,616.136363636364,"4",1931,"2","1","1","1","11","NA","NA","NA","NA","NA","0","NA",80,80,1375,"99","0","0","0"
"2012","BE",13771,616.136363636364,"4",1954,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",57,57,1377,"99","1","0","0"
"2012","BE",14101,616.136363636364,"3",1972,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",39,39,1410,"0","0","0","0"
"2012","BE",14231,616.136363636364,"3",1959,"2","1","3","1","NA","NA","NA","NA","NA","NA","NA","NA",52,52,1423,"0.3333333333","0","0","0"
"2012","BE",14271,616.136363636364,"4",1985,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",26,26,1427,"99","0","0","101"
"2012","BE",14421,616.136363636364,"1",1962,"1","1","1","1","11","NA","NA","NA","10","0","NA","NA",49,49,1442,"1","0","0","0"
"2012","BE",14451,616.136363636364,"4",1971,"1","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",40,40,1445,"0","0","0","0"
"2012","BE",14491,616.136363636364,"3",1974,"1","1","4","1","11","NA","NA","NA","NA","NA","0","NA",37,37,1449,"99","0","1","0"
"2012","BE",14511,616.136363636364,"1",1955,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",56,56,1451,"0.1388888889","0","0","0"
"2012","BE",14701,616.136363636364,"4",1947,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",64,64,1470,"1","0","0","0"
"2012","BE",14841,616.136363636364,"1",1931,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,1484,"1","0","0","0"
"2012","BE",14921,616.136363636364,"2",1958,"1","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",53,53,1492,"0.9285714286","0","0","0"
"2012","BE",14981,616.136363636364,"2",1960,"2","1","3","1","11","NA","NA","30","NA","NA","NA","NA",52,51,1498,"1","0","0","0"
"2012","BE",15011,616.136363636364,"4",1956,"1","1","4","1","NA","NA","NA","NA","NA","NA","NA","0",56,55,1501,"99","2","0","10"
"2012","BE",15141,616.136363636364,"4",1954,"1","1","3","4","11","NA","NA","NA","NA","0","NA","NA",57,57,1514,"1","0","0","0"
"2012","BE",15171,616.136363636364,"4",1970,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",41,41,1517,"0.7714285714","0","0","0"
"2012","BE",15211,616.136363636364,"4",1939,"2","1","3","1","11","NA","NA","NA","NA","0","NA","NA",72,72,1521,"0.5","0","0","0"
"2012","BE",15461,616.136363636364,"1",1935,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",76,76,1546,"1","0","0","0"
"2012","BE",15651,616.136363636364,"4",1947,"1","1","4","1","11","NA","NA","NA","0","0","NA","NA",65,64,1565,"0.5","2","0","0"
"2012","BE",15691,616.136363636364,"3",1955,"1","1","2","1","11","NA","NA","NA","NA","NA","NA","0",56,56,1569,"1","2","0","0"
"2012","BE",15711,616.136363636364,"3",1986,"1","1","4","1","11","NA","NA","NA","NA","27","NA","NA",26,25,1571,"0.5","0","0","100"
"2012","BE",16191,616.136363636364,"1",1972,"1","1","4","1","NA","NA","35","NA","NA","NA","0","NA",39,39,1619,"99","0","0","1"
"2012","BE",16871,616.136363636364,"1",1990,"2","1","3","4","11","NA","NA","NA","NA","NA","0","NA",22,21,1687,"0.5","0","0","0"
"2012","BE",16891,616.136363636364,"1",1972,"1","1","2","4","11","NA","NA","30","NA","NA","NA","NA",40,39,1689,"0.8035714286","1","0","0"
"2012","BE",16991,616.136363636364,"3",1980,"1","1","4","4","11","NA","32","NA","NA","NA","0","NA",31,31,1699,"0.9571428571","0","0","0"
"2012","BE",17281,616.136363636364,"3",1931,"2","1","4","4","11","NA","NA","NA","NA","NA","0","NA",80,80,1728,"99","0","0","0"
"2012","BE",17531,616.136363636364,"1",1954,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","0",58,57,1753,"0.7714285714","0","0","0"
"2012","BE",17601,616.136363636364,"3",1954,"2","1","4","1","11","NA","NA","NA","NA","NA","0","NA",57,57,1760,"1","0","0","0"
"2012","BE",17931,616.136363636364,"4",1931,"1","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",80,80,1793,"1","1","0","0"
"2012","BE",17971,616.136363636364,"4",1977,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",35,34,1797,"0.5833333333","2","0","0"
"2012","BE",18011,616.136363636364,"2",1955,"1","1","4","1","11","NA","NA","NA","NA","0","NA","NA",56,56,1801,"99","0","0","0"
"2012","BE",18071,616.136363636364,"1",1942,"2","1","1","1","NA","NA","NA","NA","NA","0","NA","NA",69,69,1807,"99","0","0","0"
"2012","BE",18081,616.136363636364,"4",1952,"2","1","4","1","11","NA","NA","28","NA","NA","NA","NA",59,59,1808,"0.5","2","0","0"
"2012","BE",18151,616.136363636364,"1",1931,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,1815,"0.3225389031","0","0","0"
"2012","BE",18321,616.136363636364,"3",1982,"1","1","3","4","11","NA","NA","NA","NA","NA","NA","NA",30,29,1832,"0.2596636929","0","0","0"
"2012","BE",18381,616.136363636364,"4",1943,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",68,68,1838,"0.7777777778","1","0","0"
"2012","BE",18431,616.136363636364,"4",1971,"1","1","4","1","NA","NA","NA","NA","NA","0","0","NA",41,40,1843,"0.5","2","0","0"
"2012","BE",18571,616.136363636364,"1",1931,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,1857,"99","0","1","0"
"2012","BE",18651,616.136363636364,"1",1977,"1","1","1","1","11","NA","NA","NA","NA","0","NA","NA",35,34,1865,"1","0","0","0"
"2012","BE",18791,616.136363636364,"2",1931,"2","1","4","4","11","NA","NA","NA","32","NA","0","NA",80,80,1879,"99","2","0","110"
"2012","BE",18851,616.136363636364,"4",1943,"1","1","1","1","11","NA","NA","NA","0","NA","NA","NA",68,68,1885,"1","0","0","100"
"2012","BE",19051,616.136363636364,"1",1939,"2","1","1","1","NA","NA","NA","NA","NA","0","NA","NA",73,72,1905,"0.8428571429","2","0","1"
"2012","BE",19141,616.136363636364,"2",1983,"1","1","1","1","NA","NA","NA","28","NA","0","NA","NA",29,28,1914,"0.8","0","0","0"
"2012","BE",19251,616.136363636364,"1",1959,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",53,52,1925,"99","0","1","0"
"2012","BE",19301,616.136363636364,"1",1968,"2","1","3","1","NA","NA","NA","NA","NA","NA","NA","NA",44,43,1930,"99","1","1","0"
"2012","BE",19351,616.136363636364,"4",1965,"1","1","1","1","11","NA","NA","NA","NA","0","NA","NA",46,46,1935,"99","2","0","0"
"2012","BE",19731,616.136363636364,"4",1978,"1","1","1","4","NA","NA","NA","NA","2","NA","NA","0",33,33,1973,"99","2","0","0"
"2012","BE",19771,616.136363636364,"1",1981,"1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA",31,30,1977,"0.1428571429","0","0","0"
"2012","BE",19801,616.136363636364,"3",1974,"1","1","3","1","11","NA","NA","NA","NA","0","NA","NA",38,37,1980,"99","0","0","0"
"2012","BE",19911,616.136363636364,"2",1948,"1","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",63,63,1991,"1","0","0","0"
"2012","BE",20191,616.136363636364,"2",1986,"1","1","4","1","NA","NA","NA","NA","4","NA","NA","NA",26,25,2019,"1","0","1","100"
"2012","BE",20431,616.136363636364,"4",1934,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",77,77,2043,"0.8857142857","2","0","0"
"2012","BE",20511,616.136363636364,"3",1931,"1","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",80,80,2051,"1","0","0","0"
"2012","BE",20571,616.136363636364,"2",1960,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","0",51,51,2057,"1","0","0","0"
"2012","BE",20581,616.136363636364,"2",1960,"2","1","1","1","NA","NA","NA","NA","NA","0","NA","NA",51,51,2058,"99","0","0","100"
"2012","BE",20831,616.136363636364,"1",1966,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",45,45,2083,"1","0","0","0"
"2012","BE",20891,616.136363636364,"2",1954,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","0",57,57,2089,"0.9652850128","2","0","0"
"2012","BE",20911,616.136363636364,"2",1962,"1","1","1","1","11","NA","NA","NA","NA","0","NA","0",50,49,2091,"99","0","0","0"
"2012","BE",20991,616.136363636364,"3",1947,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","0",64,64,2099,"0.5","0","0","0"
"2012","BE",21181,616.136363636364,"2",1956,"1","1","1","1","11","NA","NA","NA","NA","0","NA","NA",55,55,2118,"99","0","0","111"
"2012","BE",21291,616.136363636364,"3",1952,"2","1","1","1","11","NA","NA","NA","0","NA","NA","20",59,59,2129,"1","0","0","0"
"2012","BE",21561,616.136363636364,"3",1983,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",29,28,2156,"1","2","0","0"
"2012","BE",21691,616.136363636364,"2",1982,"2","1","3","1","11","NA","NA","32","NA","NA","NA","NA",30,29,2169,"1","0","0","0"
"2012","BE",21711,616.136363636364,"1",1983,"1","1","4","1","11","NA","NA","34","NA","NA","NA","NA",28,28,2171,"0.7142857143","2","0","0"
"2012","BE",21761,616.136363636364,"4",1956,"1","1","3","1","11","NA","NA","NA","NA","0","NA","0",56,55,2176,"99","0","0","0"
"2012","BE",21781,616.136363636364,"2",1976,"1","1","4","1","NA","NA","NA","NA","NA","NA","NA","NA",35,35,2178,"99","2","0","100"
"2012","BE",21821,616.136363636364,"1",1931,"1","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,2182,"0.3611400512","0","0","0"
"2012","BE",21921,616.136363636364,"4",1931,"2","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,2192,"1","0","0","0"
"2012","BE",21931,616.136363636364,"2",1955,"1","1","3","1","11","NA","NA","NA","NA","NA","NA","25",57,56,2193,"99","0","0","0"
"2012","BE",22061,616.136363636364,"3",1935,"2","1","4","1","NA","NA","NA","NA","NA","0","NA","NA",76,76,2206,"0.3333333333","0","0","0"
"2012","BE",22191,616.136363636364,"4",1980,"1","1","1","1","11","NA","NA","NA","NA","18","NA","3",31,31,2219,"0.4821428571","2","1","0"
"2012","BE",22281,616.136363636364,"2",1944,"2","1","1","4","11","NA","NA","NA","3","NA","NA","NA",67,67,2228,"1","0","0","0"
"2012","BE",22531,616.136363636364,"2",1983,"1","1","4","1","11","NA","NA","NA","0","NA","NA","NA",29,28,2253,"99","0","0","0"
"2012","BE",22611,616.136363636364,"4",1971,"1","1","4","1","11","NA","NA","NA","NA","NA","0","NA",41,40,2261,"0.5161857965","0","0","0"
"2012","BE",22621,616.136363636364,"1",1931,"2","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,2262,"0.5","2","0","0"
"2012","BE",22761,616.136363636364,"2",1948,"1","1","2","1","11","NA","NA","NA","NA","0","NA","NA",64,63,2276,"99","0","0","110"
"2012","BE",22851,616.136363636364,"4",1933,"2","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",78,78,2285,"0","1","0","0"
"2012","BE",23001,616.136363636364,"1",1971,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",40,40,2300,"99","0","0","0"
"2012","BE",23041,616.136363636364,"3",1950,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",62,61,2304,"1","0","0","101"
"2012","BE",23061,616.136363636364,"3",1950,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",61,61,2306,"0.8333333333","0","0","0"
"2012","BE",23141,616.136363636364,"3",1958,"2","1","1","1","11","NA","NA","32","NA","NA","NA","NA",54,53,2314,"99","2","1","0"
"2012","BE",23161,616.136363636364,"3",1931,"2","1","4","1","11","NA","NA","32","0","38","NA","NA",80,80,2316,"0.5","2","0","0"
"2012","BE",23221,616.136363636364,"1",1967,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",44,44,2322,"0","0","0","0"
"2012","BE",23461,616.136363636364,"1",1958,"1","1","1","4","11","NA","NA","NA","NA","NA","0","NA",54,53,2346,"1","0","0","110"
"2012","BE",23631,616.136363636364,"2",1981,"1","1","4","4","11","NA","NA","NA","NA","NA","NA","NA",31,30,2363,"1","0","0","0"
"2012","BE",23711,616.136363636364,"4",1976,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","0",35,35,2371,"0.8611400512","1","0","0"
"2012","BE",23881,616.136363636364,"4",1980,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",32,31,2388,"0.8333333333","0","0","100"
"2012","BE",23961,616.136363636364,"2",1976,"1","1","1","1","11","NA","NA","31","NA","NA","NA","NA",35,35,2396,"1","0","0","0"
"2012","BE",24001,616.136363636364,"4",1945,"1","1","1","1","11","NA","NA","32","NA","NA","NA","NA",67,66,2400,"99","0","0","0"
"2012","BE",24011,616.136363636364,"1",1948,"2","1","4","4","NA","NA","NA","NA","0","NA","0","0",63,63,2401,"0.8476190476","0","0","0"
"2012","BE",24051,616.136363636364,"1",1956,"1","1","3","1","11","NA","NA","NA","NA","NA","NA","NA",56,55,2405,"99","2","0","0"
"2012","BE",24071,616.136363636364,"3",1931,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,2407,"0.9571428571","0","0","1"
"2012","BE",24251,616.136363636364,"4",1979,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",33,32,2425,"0.5","2","0","0"
"2012","BE",24281,616.136363636364,"2",1947,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",65,64,2428,"0.7285714286","0","0","0"
"2012","BE",24371,616.136363636364,"2",1978,"2","1","3","4","11","NA","NA","NA","NA","NA","NA","NA",33,33,2437,"1","0","0","101"
"2012","BE",24461,616.136363636364,"1",1976,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","0",36,35,2446,"0.8833333333","2","0","101"
"2012","BE",24531,616.136363636364,"4",1968,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",43,43,2453,"1","0","0","100"
"2012","BE",24561,616.136363636364,"2",1973,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",38,38,2456,"99","0","0","0"
