"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2013","BE",83,"2","2013","32",70940,64685,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,3892,,2363,,"NA","1","NA","1","1","1","1","1","3","1","1","4","4000","1","NA","2","2","2","2","3","1","6","1","1","NA","NA","723.78","248","1","1","3","NA","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA",,"1",1,,,,,
"2013","BE",88,"2","2013","15",53374,45768,0,0,,,,,,,,0,0,0,0,0,,184,,0,0,2415,,5191,,"3","3","3","1","1","2","1","1","3","1","1","5","2000","3","NA","2","1","2","2","NA","2","3","2","1","NA","NA","624.66","NA","1","1","1","1","NA","NA","1","1","NA","NA","NA","1","NA","NA","1","1",,"1",1,,,,,
"2013","BE",111,"2","2013","18",25342,25274,0,0,,,,,,,,0,0,0,0,0,,59,,0,0,0,,67,,"NA","3","NA","2","1","1","1","3","3","1","1","5","1600","3","NA","2","2","2","2","1","4","4","1","1","NA","NA","259.5","NA","1","1","2","NA","1","NA","1","NA","1","NA","NA","1","NA","NA","NA","2",,"1",1,,,,,
"2013","BE",115,"2","2013","18",16705,8056,0,0,,,,,,,,0,0,0,0,0,,625,,0,0,0,,8650,,"3","NA","NA","1","1","1","1","1","1","1","1","4","2000","3","3","2","1","2","2","1","2","6","2","1","1020","NA","427.82","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA",,"1",1,,,,,
"2013","BE",143,"2","2013","20",115237,115221,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,16,,"NA","2","NA","1","1","1","1","1","1","2","1","5","5000","3","1","2","1","2","2","2","4","6","2","1","NA","NA","462.13","599","1","1","2","NA","NA","2","1","NA","NA","NA","NA","1","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",147,"2","2013","13",121728,114982,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6746,,"3","3","NA","1","1","1","1","1","1","1","1","4","2200","2","3","2","2","2","2","1","3","6","2","1","NA","NA","478.2","NA","1","1","1","NA","1","1","1","NA","NA","1","NA","NA","1","NA","NA","NA",,"1",1,,,,,
"2013","BE",156,"4","2013","12",14847,14831,5502,5502,,,,,,,,5502,0,0,0,0,,0,,0,0,12,,4,,"NA","3","NA","1","1","1","1","1","1","1","1","4","2300","2","NA","2","2","2","2","1","2","5","2","1","NA","NA","278.17","700","1","1","1","NA","NA","1","NA","NA","NA","1","NA","1","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",160,"3","2013","57",50979,51002,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,-23,,"3","3","3","1","1","1","1","1","1","3","1","5","3000","3","NA","2","1","2","2","1","2","2","2","1","NA","NA","887.17","NA","1","1","1","NA","1","NA","NA","NA","NA","NA","1","NA","1","NA","1","1",,"1",1,,,,,
"2013","BE",176,"2","2013","9",12406,12346,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,60,,"3","3","NA","1","1","1","1","1","1","1","1","1","1500","1","2","2","2","2","2","1","1","4","2","1","NA","NA","538.17","991","1","1","2","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA","1","1",,"1",1,,,,,
"2013","BE",189,"2","2013","24",13092,26731,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,-13638,,"3","NA","NA","1","1","1","1","1","1","1","1","3","2000","2","1","2","1","1","2","2","1","5","2","1","320","NA","330.56","NA","1","1","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",224,"2","2013","23",135598,126530,49181,49181,,,,,,,,49181,0,0,0,49181,,3279,,0,0,0,,9068,,"NA","3","3","1","1","1","1","1","1","1","1","2","2000","2","NA","2","2","2","2","1","1","6","2","1","NA","NA","223","NA","1","1","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","1","1","NA",,"1",1,,,,,
"2013","BE",244,"2","2013","25",3745,3811,0,0,,,,,,,,0,0,0,0,0,,3745,,0,0,0,,-66,,"NA","3","NA","2","1","1","1","1","1","1","1","4","1500","2","1","2","2","2","2","2","2","6","1","1","NA","NA","287.28","NA","1","1","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",280,"3","2013","12",10339,10279,0,0,,,,,,,,0,0,0,0,0,,345,,0,0,0,,60,,"3","3","NA","2","1","1","1","1","3","1","1","1","3000","3","NA","2","1","2","2","2","3","3","2","1","380","NA","518.18","519","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","1","1","1","NA","NA",,"1",1,,,,,
"2013","BE",300,"2","2013","19",9271,8002,0,0,,,,,,,,0,0,0,0,0,,133,,0,0,0,,1269,,"NA","3","NA","1","1","1","1","1","1","1","1","4","1500","2","1","2","2","2","2","1","3","4","1","2","NA","NA","766.24","NA","1","1","3","NA","NA","NA","NA","1","NA","1","NA","NA","1","NA","NA","NA",,"1",1,,,,,
"2013","BE",303,"3","2013","35",5012,4926,0,0,,,,,,,,0,0,0,0,0,,270,,0,0,0,,86,,"NA","2","NA","1","2","1","1","1","1","3","1","5","3300","3","NA","2","1","2","2","2","1","4","2","1","NA","NA","471","NA","1","1","1","NA","1","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA",,"1",1,,,,,
"2013","BE",315,"2","2013","40",57481,36073,0,0,,,,,,,,0,0,0,0,0,,1196,,0,0,0,,21408,,"NA","3","NA","1","1","1","1","1","1","1","1","2","2500","3","NA","2","2","2","1","1","1","3","2","1","NA","NA","223","NA","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA",,"1",1,,,,,
"2013","BE",319,"2","2013","19",36843,36795,0,0,,,,,,,,0,0,0,0,5940,,0,,0,0,0,,48,,"NA","3","3","1","1","1","1","1","1","1","1","5","4500","1","1","2","2","2","2","2","1","6","2","1","NA","NA","458","939","1","1","1","NA","1","1","NA","NA","NA","NA","3","NA","1","NA","1","1",,"1",1,,,,,
"2013","BE",348,"2","2013","23",13142,13086,3425,3425,,,,,,,,3425,0,0,0,0,,204,,0,0,0,,56,,"3","3","NA","1","1","2","1","1","1","1","1","1","NA","1","NA","2","2","1","2","2","1","4","2","1","NA","NA","917.85","750","1","1","1","NA","NA","NA","1","NA","NA","1","NA","NA","NA","1","NA","NA",,"1",1,,,,,
"2013","BE",351,"3","2013","21",40,-7089,0,0,,,,,,,,0,0,0,0,0,,40,,0,0,7129,,0,,"3","3","NA","1","1","1","1","1","3","1","1","5","1500","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","1052.49","NA","1","1","1","NA","1","1","NA","1","NA","NA","3","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",360,"3","2013","26",13170,9538,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3632,,"NA","3","NA","2","1","1","1","1","1","1","1","4","2500","1","NA","2","2","2","2","2","1","3","2","1","NA","NA","834.07","NA","1","1","1","NA","1","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA",,"1",1,,,,,
"2013","BE",370,"2","2013","19",1869,-66537,0,0,,,,,,,,0,0,0,0,0,,114,,0,0,0,,68406,,"NA","3","3","1","1","1","1","1","1","1","3","4","2500","2","NA","1","2","2","2","1","1","4","2","1","NA","NA","223","NA","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",375,"3","2013","58",89721,75539,0,0,,,,,,,,0,0,50446,0,0,,0,,0,0,2463,,11719,,"NA","3","NA","1","1","1","1","1","1","1","1","6","2500","2","3","2","2","2","2","4","3","6","2","1","NA","NA","223","NA","1","1","1","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",402,"2","2013","14",6789,5920,0,0,,,,,,,,0,0,0,0,0,,408,,0,0,0,,869,,"NA","3","3","1","1","1","1","1","3","2","1","2","3000","1","NA","2","2","2","2","2","1","6","2","1","NA","NA","946","NA","1","1","3","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1",,"1",1,,,,,
"2013","BE",410,"2","2013","30",36754,33033,0,0,,,,,,,,0,0,0,0,0,,109,,0,0,0,,3721,,"3","3","NA","1","1","1","1","1","1","1","1","5","2500","1","NA","2","1","2","2","1","4","6","2","1","NA","NA","435.76","NA","1","1","1","NA","NA","NA","1","1","NA","1","NA","1","NA","NA","NA","2",,"1",1,,,,,
"2013","BE",412,"2","2013","17",19458,-4143,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,23600,,"3","3","3","2","1","1","1","1","1","1","3","6","6000","2","NA","2","2","2","2","4","2","4","2","2","NA","NA","954","NA","1","3","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",415,"3","2013","24",20986,13948,0,0,,,,,,,,0,0,0,0,0,,15,,0,0,0,,7038,,"3","3","NA","1","1","1","1","1","1","1","1","1","1700","3","NA","2","2","2","2","3","2","5","2","1","NA","NA","355.73","NA","1","1","1","NA","1","NA","NA","NA","1","NA","NA","3","NA","1","NA","NA",,"1",1,,,,,
"2013","BE",438,"2","2013","27",53244,45104,0,0,,,,,,,,0,0,0,0,0,,23953,,0,0,0,,8140,,"NA","3","NA","1","1","1","1","1","1","1","3","5","3500","3","3","2","1","2","2","1","1","6","1","1","NA","NA","390.62","NA","1","1","1","1","NA","NA","NA","NA","1","NA","NA","1","1","NA","NA","1",,"1",1,,,,,
"2013","BE",444,"2","2013","31",22838,22837,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1,,"NA","3","NA","1","1","1","1","1","1","1","3","2","2000","2","NA","2","2","1","2","3","3","4","2","1","205","NA","470.26","330","1","1","2","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",506,"3","2013","32",11795,9801,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1994,,"3","3","3","2","1","1","1","1","1","1","1","5","2500","3","NA","2","2","2","1","3","3","6","2","1","NA","NA","376.4","1554.59","1","1","1","NA","1","1","1","NA","NA","NA","NA","3","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",520,"2","2013","21",23684,23597,0,0,,,,,,,,0,0,0,0,12232,,0,,0,0,0,,88,,"NA","3","NA","1","1","1","1","1","1","1","1","5","3000","1","NA","2","2","1","2","1","2","5","1","1","NA","NA","246.5","443","1","1","1","1","NA","NA","NA","NA","NA","2","NA","NA","NA","1","1","NA",,"1",1,,,,,
"2013","BE",521,"2","2013","13",50165,45082,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,1800,,3282,,"NA","3","NA","2","1","1","1","1","1","1","2","5","1000","3","1","2","2","1","2","1","3","4","2","1","NA","NA","284.75","NA","1","1","2","1","NA","NA","1","NA","1","NA","1","1","1","NA","NA","2",,"1",1,,,,,
"2013","BE",533,"2","2013","58",13640,13620,0,0,,,,,,,,0,0,0,0,0,,77,,0,0,0,,19,,"3","NA","3","1","1","1","1","1","1","1","1","1","2000","2","NA","2","2","2","2","3","1","3","2","1","NA","NA","575.89","NA","1","1","3","NA","1","NA","NA","NA","NA","NA","3","NA","1","NA","NA","1",,"1",1,,,,,
"2013","BE",546,"2","2013","14",13185,13107,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,78,,"NA","3","NA","1","1","2","1","1","3","1","3","5","2200","1","3","2","2","2","2","2","3","6","2","1","NA","NA","598.61","671.13","1","1","1","NA","NA","NA","NA","1","NA","1","NA","NA","NA","1","NA","NA",,"1",1,,,,,
"2013","BE",557,"2","2013","10",32728,18045,0,0,,,,,,,,0,0,0,0,0,,99,,0,0,0,,14683,,"NA","3","NA","1","1","2","1","1","1","1","1","3","3000","3","1","2","2","2","2","2","3","5","2","1","NA","NA","376.4","NA","1","1","1","NA","1","1","1","NA","1","NA","NA","NA","NA","NA","1","NA",,"1",1,,,,,
"2013","BE",583,"2","2013","20",18020,9636,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8385,,"3","3","3","2","1","2","1","1","1","1","1","4","3500","1","NA","2","2","2","1","1","3","6","2","1","680","NA","1191.07","NA","1","1","1","1","NA","NA","1","1","NA","NA","2","1","1","1","1","1",,"1",1,,,,,
"2013","BE",587,"2","2013","23",44984,-21441,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,66425,,"NA","3","3","1","1","1","1","1","1","1","1","6","2000","3","NA","2","2","2","1","2","3","6","2","1","1020","NA","666.69","NA","1","1","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",591,"2","2013","19",2536,2495,2536,2536,,,,,,,,2536,0,0,0,0,,0,,0,0,0,,41,,"3","3","NA","1","1","1","1","1","1","1","1","3","2500","2","NA","2","2","2","2","2","2","5","2","1","256","NA","246.79","NA","1","1","1","NA","NA","NA","NA","1","NA","NA","NA","3","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",595,"2","2013","13",13296,13288,0,0,,,,,,,,0,0,0,0,0,,5,,0,0,0,,8,,"3","3","NA","2","1","2","1","1","3","1","1","3","1000","2","NA","2","2","2","2","2","1","6","2","2","NA","NA","505.81","738.42","1","1","2","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",597,"2","2013","13",13106,10803,0,0,,,,,,,,0,0,0,0,0,,327,,0,0,0,,2303,,"3","3","NA","1","1","2","1","1","1","1","3","4","4000","3","NA","2","2","2","2","2","1","4","1","1","NA","NA","355.73","448.7","1","1","1","NA","NA","NA","NA","1","1","1","3","NA","1","NA","1","NA",,"1",1,,,,,
"2013","BE",610,"4","2013","36",1351,-6922,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,3054,,5218,,"3","3","3","2","1","1","1","1","1","1","1","6","3300","2","NA","2","2","2","2","4","1","5","2","1","NA","NA","688","NA","1","1","1","NA","1","2","NA","1","NA","NA","NA","1","NA","1","NA","1",,"1",1,,,,,
"2013","BE",639,"3","2013","41",30804,7998,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,22806,,"3","3","3","1","2","1","1","1","1","1","1","5","1500","2","NA","2","1","2","2","3","1","6","2","1","NA","NA","741.01","NA","1","1","2","NA","NA","1","NA","NA","1","NA","NA","1","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",652,"2","2013","14",31838,27920,0,0,,,,,,,,0,0,28152,0,0,,0,,0,0,851,,3067,,"3","3","3","1","1","1","1","1","3","1","3","5","3000","3","NA","2","2","2","2","3","1","6","2","1","NA","NA","468.39","NA","1","1","1","NA","NA","NA","NA","NA","1","1","NA","NA","NA","1","NA","NA",,"1",1,,,,,
"2013","BE",656,"2","2013","6",35327,26891,0,0,,,,,,,,0,0,0,0,0,,858,,0,0,3757,,4679,,"NA","3","3","2","1","1","1","1","1","3","1","4","1800","3","NA","2","1","2","2","2","2","4","2","1","225.84","NA","629.74","NA","1","1","3","NA","NA","NA","1","1","NA","NA","1","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",662,"2","2013","11",22525,11078,0,0,,,,,,,,0,0,0,0,0,,832,,0,0,0,,11448,,"3","3","NA","1","1","1","1","1","3","1","1","3","1500","2","NA","2","2","2","1","2","3","4","1","1","NA","NA","1215","1217","1","1","3","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",667,"3","2013","37",10557,10514,0,0,,,,,,,,0,0,0,0,0,,9,,0,0,0,,43,,"NA","3","3","1","1","1","1","1","1","1","1","3","1900","2","2","2","1","2","2","2","1","4","2","1","325","NA","338.82","NA","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",708,"2","2013","6",48949,29454,0,0,,,,,,,,0,0,0,0,0,,262,,0,0,0,,19495,,"NA","3","3","1","1","1","1","1","1","1","1","4","4000","2","3","1","2","2","1","4","1","6","2","1","NA","NA","345.67","NA","1","1","3","1","NA","1","1","NA","NA","NA","NA","NA","1","NA","NA","NA",,"1",1,,,,,
"2013","BE",713,"3","2013","28",10546,10281,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,265,,"3","3","NA","1","1","1","1","1","1","1","1","4","2500","2","NA","2","2","2","1","3","1","6","2","1","NA","NA","390.62","NA","1","1","1","1","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",752,"3","2013","4",17896,15424,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2472,,"NA","3","3","1","1","1","1","1","1","1","1","2","4000","1","3","1","1","2","2","1","3","6","2","1","NA","NA","659.29","NA","1","1","1","NA","NA","NA","NA","NA","1","1","NA","NA","1","1","NA","NA",,"1",1,,,,,
"2013","BE",756,"3","2013","19",28971,21898,0,0,,,,,,,,0,0,0,0,0,,3476,,0,0,0,,7073,,"NA","3","3","1","1","1","1","1","1","1","1","4","6000","2","NA","2","2","2","1","1","3","5","1","1","NA","NA","688","NA","1","1","1","NA","1","1","NA","1","1","NA","NA","1","1","1","NA","1",,"1",1,,,,,
"2013","BE",774,"4","2013","27",39212,39244,0,0,,,,,,,,0,0,0,0,6948,,0,,0,0,0,,-33,,"3","3","NA","1","1","1","1","1","3","1","3","3","1500","3","NA","2","2","2","2","2","5","5","1","1","NA","NA","723.78","NA","1","1","1","NA","NA","1","1","NA","NA","1","1","NA","NA","1","NA","NA",,"1",1,,,,,
"2013","BE",814,"2","2013","21",17805,15117,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2688,,"3","3","NA","1","1","1","1","1","3","2","1","4","2500","1","NA","2","2","1","2","3","3","5","2","1","260","NA","268.42","NA","1","1","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",818,"3","2013","28",71401,70852,0,0,,,,,,,,0,0,32803,0,4093,,0,,0,0,0,,549,,"NA","3","3","1","1","1","1","1","1","1","1","6","3000","3","NA","2","2","2","2","2","1","6","2","1","NA","NA","696.68","NA","1","1","1","NA","1","1","NA","NA","NA","NA","NA","NA","NA","1","1","NA",,"1",1,,,,,
"2013","BE",823,"2","2013","23",10501,3982,0,0,,,,,,,,0,0,0,0,0,,18,,0,0,0,,6519,,"NA","3","NA","2","1","2","1","1","1","1","1","4","1500","1","NA","2","2","1","2","1","1","6","2","1","NA","NA","860","220","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",850,"2","2013","37",16445,16186,0,0,,,,,,,,0,0,0,0,15965,,266,,0,0,0,,260,,"3","3","NA","1","2","1","1","1","1","1","3","3","3500","3","NA","2","2","1","2","1","1","6","2","1","NA","NA","1258.16","820","1","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA",,"1",1,,,,,
"2013","BE",863,"2","2013","9",28212,27625,0,0,,,,,,,,0,0,0,0,0,,37,,0,0,213,,375,,"3","3","NA","1","1","1","1","1","1","2","1","1","1800","2","NA","2","2","2","2","1","1","3","2","2","NA","NA","229.92","NA","1","3","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","1","2",,"1",1,,,,,
"2013","BE",866,"3","2013","41",35215,26660,0,0,,,,,,,,0,0,0,0,0,,219,,0,0,0,,8555,,"3","NA","NA","1","1","1","1","1","1","1","1","6","3000","3","NA","2","2","2","1","3","1","6","2","1","NA","NA","774.67","NA","1","1","1","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",887,"4","2013","4",17530,18065,0,0,,,,,,,,0,0,0,0,0,,53,,0,0,0,,-535,,"3","3","3","1","1","2","1","1","1","1","1","4","1500","3","2","2","2","2","2","1","3","4","2","1","NA","NA","1014.13","NA","1","1","1","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",907,"2","2013","58",59096,45645,0,0,,,,,,,,0,0,0,0,0,,6854,,0,0,0,,13451,,"NA","3","NA","1","1","1","1","1","1","1","1","4","2750","3","NA","2","2","2","2","1","1","4","2","1","NA","NA","326.5","NA","1","1","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",908,"2","2013","14",27710,28345,0,0,,,,,,,,0,0,0,0,0,,59,,0,0,0,,-635,,"3","3","NA","1","1","1","1","1","1","1","1","6","2200","3","NA","2","2","2","1","2","2","5","2","1","NA","NA","259.51","NA","1","1","1","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","1",,"1",1,,,,,
"2013","BE",911,"2","2013","38",3112,6949,0,0,,,,,,,,0,0,0,0,3112,,0,,0,0,0,,-3837,,"3","NA","3","1","1","1","1","1","1","1","1","1","1700","2","NA","2","1","2","2","2","2","5","2","1","NA","NA","316.25","360","3","1","1","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","BE",917,"2","2013","11",38834,38829,0,0,,,,,,,,0,0,0,0,0,,572,,0,0,0,,5,,"3","3","NA","1","1","1","1","1","3","1","1","2","3000","3","2","2","2","2","2","1","1","5","1","1","NA","NA","580","1600","1","1","1","NA","1","NA","NA","1","1","NA","1","1","NA","NA","1","1",,"1",1,,,,,
"2013","BE",928,"2","2013","9",61780,59895,0,0,,,,,,,,0,0,0,0,0,,172,,0,0,0,,1885,,"3","3","NA","1","1","1","1","1","1","3","1","5","3500","1","NA","2","2","2","2","2","2","3","1","1","NA","NA","622.23","NA","1","1","3","1","1","NA","NA","NA","1","1","NA","1","1","NA","NA","1",,"1",1,,,,,
"2013","BE",939,"2","2013","14",133007,130054,0,0,,,,,,,,0,0,0,0,0,,1907,,0,0,0,,2953,,"3","3","NA","1","1","1","1","1","3","1","1","4","2000","1","1","2","2","2","2","2","3","6","1","1","NA","NA","373.43","NA","1","1","1","NA","1","NA","NA","1","NA","NA","NA","1","NA","1","NA","NA",,"1",1,,,,,
"2013","BE",956,"2","2013","6",13138,10140,0,0,,,,,,,,0,0,0,0,0,,60,,0,0,510,,2488,,"NA","3","3","1","1","1","1","1","1","1","1","4","3500","3","NA","2","2","2","1","2","1","6","1","1","NA","NA","486.16","NA","1","1","1","1","1","NA","1","NA","1","1","1","NA","1","1","NA","1",,"1",1,,,,,
"2013","BE",969,"3","2013","21",22739,6477,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,16262,,"3","3","NA","1","1","1","1","1","1","1","1","6","5000","3","NA","2","2","2","1","4","1","4","2","1","NA","NA","774.67","NA","1","1","1","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
