"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX010","RX020","RX030","RX040","RX050","RX060","RX070"
"2013","BE",3511,566.510903426791,"2",1959,"2","1","1","4","NA","5","NA","NA","NA","NA","NA","NA",54,53,351,"0.6666666667","0","0","100"
"2013","BE",3601,566.510903426791,"4",1947,"2","1","3","1","NA","2","NA","NA","NA","NA","NA","NA",65,65,360,"0.8837646041","2","0","0"
"2013","BE",3701,566.510903426791,"2",1983,"1","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",29,29,370,"0.5","1","0","0"
"2013","BE",3751,566.510903426791,"4",1982,"2","1","1","4","11","2","NA","NA","NA","NA","NA","NA",30,30,375,"99","2","0","101"
"2013","BE",4021,566.510903426791,"2",1952,"2","1","3","1","11","2","NA","NA","NA","0","0","NA",60,60,402,"1","0","0","0"
"2013","BE",4101,566.510903426791,"3",1963,"2","1","3","1","11","2","NA","NA","NA","NA","0","NA",49,49,410,"0.7957008214","0","0","0"
"2013","BE",4121,566.510903426791,"4",1946,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",67,66,412,"1","0","0","0"
"2013","BE",4151,566.510903426791,"2",1987,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",25,25,415,"0.980952381","2","0","0"
"2013","BE",4381,566.510903426791,"3",1981,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",31,31,438,"1","0","0","0"
"2013","BE",4441,566.510903426791,"3",1960,"1","1","1","1","NA","2","NA","NA","NA","NA","0","NA",52,52,444,"0.6476190476","2","0","0"
"2013","BE",5061,566.510903426791,"2",1932,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,506,"1","2","0","0"
"2013","BE",5201,566.510903426791,"3",1968,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",45,44,520,"0.7714285714","0","0","0"
"2013","BE",5211,566.510903426791,"3",1932,"2","1","1","4","11","5","NA","NA","0","NA","NA","0",80,80,521,"0.75","0","0","0"
"2013","BE",5331,566.510903426791,"4",1977,"1","1","1","1","11","2","NA","NA","0","0","NA","NA",35,35,533,"1","0","0","0"
"2013","BE",5461,566.510903426791,"3",1950,"2","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA",63,62,546,"99","0","0","0"
"2013","BE",5571,566.510903426791,"2",1952,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",60,60,557,"0.5714285714","0","0","0"
"2013","BE",5831,566.510903426791,"2",1944,"1","1","1","1","11","5","NA","NA","NA","0","NA","NA",69,68,583,"1","1","0","0"
"2013","BE",5871,566.510903426791,"2",1959,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",53,53,587,"99","2","0","0"
"2013","BE",5911,566.510903426791,"4",1959,"2","1","1","1","NA","2","NA","NA","0","NA","NA","NA",53,53,591,"0.9714285714","2","0","0"
"2013","BE",5951,566.510903426791,"3",1951,"1","1","3","4","11","NA","NA","NA","NA","NA","NA","NA",62,61,595,"0.8857142857","0","0","0"
"2013","BE",5971,566.510903426791,"1",1954,"1","1","1","1","11","NA","24","NA","NA","NA","NA","NA",59,58,597,"1","2","0","0"
"2013","BE",6101,566.510903426791,"4",1942,"2","1","1","1","11","2","NA","NA","NA","NA","0","NA",71,70,610,"0","0","0","0"
"2013","BE",6391,566.510903426791,"4",1966,"1","1","3","1","11","NA","NA","28","NA","0","NA","NA",46,46,639,"99","0","0","0"
"2013","BE",6521,566.510903426791,"3",1954,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",58,58,652,"1","0","0","0"
"2013","BE",6561,566.510903426791,"1",1983,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",29,29,656,"1","0","0","0"
"2013","BE",6621,566.510903426791,"4",1961,"2","1","1","1","11","2","NA","NA","NA","NA","0","NA",52,51,662,"99","0","0","0"
"2013","BE",6671,566.510903426791,"1",1977,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",36,35,667,"0.5","0","0","0"
"2013","BE",7081,566.510903426791,"1",1953,"2","1","1","4","NA","2","NA","NA","NA","NA","NA","NA",59,59,708,"0.9571428571","2","0","0"
"2013","BE",7131,566.510903426791,"2",1948,"2","1","4","1","11","2","NA","NA","NA","0","NA","NA",64,64,713,"0.6476190476","1","0","0"
"2013","BE",7521,566.510903426791,"1",1932,"2","1","1","1","11","NA","NA","36","NA","NA","NA","NA",80,80,752,"0.9","2","0","0"
"2013","BE",7561,566.510903426791,"2",1949,"1","1","1","1","NA","NA","NA","NA","0","0","0","NA",63,63,756,"0","1","0","0"
"2013","BE",7741,566.510903426791,"4",1969,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",43,43,774,"99","0","0","0"
"2013","BE",8141,566.510903426791,"2",1983,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","0",29,29,814,"0.8805869325","0","0","0"
"2013","BE",8181,566.510903426791,"3",1983,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",29,29,818,"1","1","0","0"
"2013","BE",8231,566.510903426791,"3",1954,"2","1","4","1","11","NA","NA","NA","0","NA","NA","NA",58,58,823,"0.3333333333","0","0","0"
"2013","BE",8501,566.510903426791,"4",1952,"2","1","3","1","11","5","NA","NA","0","NA","NA","NA",60,60,850,"99","2","0","0"
"2013","BE",8631,566.510903426791,"2",1932,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",80,80,863,"99","0","0","0"
"2013","BE",8661,566.510903426791,"3",1951,"2","1","1","4","11","2","NA","NA","0","0","NA","NA",62,61,866,"0.9142857143","0","0","0"
"2013","BE",8871,566.510903426791,"3",1981,"1","1","1","1","11","2","NA","NA","NA","NA","NA","0",32,31,887,"1","0","0","100"
"2013","BE",9071,566.510903426791,"1",1954,"2","1","4","4","11","2","NA","NA","NA","NA","NA","NA",59,58,907,"0.6042868754","0","0","0"
"2013","BE",9081,566.510903426791,"4",1966,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",46,46,908,"0.2972535992","2","0","0"
"2013","BE",9111,566.510903426791,"3",1968,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",45,44,911,"0.9571428571","0","0","0"
"2013","BE",9171,566.510903426791,"2",1971,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",41,41,917,"0","0","1","0"
"2013","BE",9281,566.510903426791,"4",1971,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",41,41,928,"99","2","0","101"
"2013","BE",9391,566.510903426791,"1",1968,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",45,44,939,"0","1","0","0"
"2013","BE",9561,566.510903426791,"3",1987,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",26,25,956,"0.3333333333","0","0","0"
"2013","BE",9691,566.510903426791,"1",1945,"1","1","1","1","11","NA","31","NA","NA","NA","0","NA",67,67,969,"1","0","0","0"
"2013","BE",9791,566.510903426791,"2",1932,"2","1","2","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,979,"0.9047619048","1","0","0"
"2013","BE",9871,566.510903426791,"4",1932,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",80,80,987,"0.7343845915","2","0","0"
"2013","BE",9931,566.510903426791,"3",1932,"1","1","1","1","14","5","NA","NA","NA","0","NA","NA",80,80,993,"0.625","2","0","0"
"2013","BE",9981,566.510903426791,"3",1939,"1","1","4","1","11","2","NA","NA","NA","0","NA","NA",73,73,998,"0.6714285714","0","0","0"
"2013","BE",10231,566.510903426791,"2",1939,"2","1","2","1","11","2","NA","NA","NA","NA","NA","0",73,73,1023,"0.9571428571","0","0","0"
"2013","BE",10291,566.510903426791,"4",1958,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",55,54,1029,"0.9285714286","0","0","0"
"2013","BE",10301,566.510903426791,"1",1983,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",29,29,1030,"1","0","0","0"
"2013","BE",10561,566.510903426791,"3",1986,"1","1","4","4","NA","2","NA","NA","NA","0","NA","NA",26,26,1056,"1","1","0","0"
"2013","BE",10621,566.510903426791,"2",1935,"2","1","4","1","11","2","NA","NA","NA","0","NA","NA",78,77,1062,"1","0","0","0"
"2013","BE",10691,566.510903426791,"2",1972,"1","1","3","1","11","5","NA","NA","NA","NA","NA","NA",41,40,1069,"99","2","0","0"
"2013","BE",10711,566.510903426791,"2",1968,"1","1","4","1","11","2","NA","NA","NA","0","NA","0",45,44,1071,"99","0","0","0"
"2013","BE",10911,566.510903426791,"2",1952,"1","1","1","1","11","NA","NA","32","NA","NA","0","NA",60,60,1091,"0.5","0","0","0"
"2013","BE",11031,566.510903426791,"3",1932,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",80,80,1103,"99","0","0","0"
"2013","BE",11761,566.510903426791,"2",1954,"2","1","4","4","11","2","NA","NA","NA","0","NA","NA",59,58,1176,"99","0","0","111"
"2013","BE",12281,566.510903426791,"3",1932,"2","1","3","4","11","2","NA","NA","NA","NA","0","2",80,80,1228,"99","0","0","0"
"2013","BE",12331,566.510903426791,"2",1932,"1","1","3","4","11","NA","NA","NA","NA","NA","NA","NA",80,80,1233,"0.1142857143","0","0","100"
"2013","BE",12481,566.510903426791,"4",1932,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",80,80,1248,"1","0","0","111"
"2013","BE",12671,566.510903426791,"3",1954,"1","1","3","4","11","2","NA","NA","NA","NA","NA","NA",59,58,1267,"0.2857142857","0","0","0"
"2013","BE",12701,566.510903426791,"4",1934,"2","1","1","1","11","2","NA","NA","NA","NA","NA","0",79,78,1270,"0.7","2","0","0"
"2013","BE",13091,566.510903426791,"1",1976,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",36,36,1309,"0","0","0","0"
"2013","BE",13211,566.510903426791,"1",1944,"2","1","1","4","11","5","NA","NA","0","NA","NA","0",68,68,1321,"1","2","0","0"
"2013","BE",13661,566.510903426791,"2",1986,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",27,26,1366,"99","2","0","100"
"2013","BE",13691,566.510903426791,"3",1932,"2","1","4","4","11","2","NA","NA","NA","NA","NA","NA",80,80,1369,"0.7857142857","0","1","110"
"2013","BE",13841,566.510903426791,"4",1937,"2","1","4","1","NA","5","NA","NA","NA","NA","NA","NA",76,75,1384,"1","1","1","0"
"2013","BE",13861,566.510903426791,"2",1932,"2","1","1","4","11","5","32","NA","NA","NA","NA","NA",80,80,1386,"0.7857142857","0","0","0"
"2013","BE",14181,566.510903426791,"3",1982,"2","1","1","4","NA","2","NA","NA","NA","NA","NA","NA",31,30,1418,"0.9583333333","0","0","0"
"2013","BE",14191,566.510903426791,"2",1965,"1","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",48,47,1419,"99","1","1","0"
"2013","BE",14321,566.510903426791,"4",1981,"1","1","4","1","11","2","NA","NA","0","NA","NA","NA",32,31,1432,"0.4166666667","0","0","0"
"2013","BE",14331,566.510903426791,"4",1932,"2","1","2","1","11","2","NA","32","NA","NA","0","NA",80,80,1433,"1","0","0","1"
"2013","BE",14361,566.510903426791,"1",1979,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",34,33,1436,"0.4166666667","0","0","0"
"2013","BE",14511,566.510903426791,"3",1932,"2","1","1","1","11","2","NA","NA","11","NA","NA","NA",80,80,1451,"0.9285714286","0","0","0"
"2013","BE",14541,566.510903426791,"4",1949,"2","1","4","1","11","2","33","NA","NA","NA","NA","NA",64,63,1454,"1","0","0","0"
"2013","BE",14591,566.510903426791,"4",1933,"2","1","4","1","11","2","NA","NA","NA","NA","NA","0",79,79,1459,"99","0","0","0"
"2013","BE",14601,566.510903426791,"1",1941,"2","1","1","1","11","5","NA","NA","NA","NA","NA","NA",71,71,1460,"1","2","0","0"
"2013","BE",14801,566.510903426791,"4",1937,"2","1","1","4","11","2","NA","NA","NA","NA","NA","NA",76,75,1480,"0","0","0","0"
"2013","BE",14941,566.510903426791,"2",1932,"1","1","1","1","11","2","NA","NA","0","NA","NA","NA",80,80,1494,"0","0","0","110"
"2013","BE",15011,566.510903426791,"1",1966,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",47,46,1501,"1","1","0","0"
"2013","BE",15081,566.510903426791,"4",1976,"1","1","1","1","11","2","NA","NA","NA","NA","NA","0",37,36,1508,"0.9285714286","0","0","0"
"2013","BE",15101,566.510903426791,"3",1950,"2","1","2","1","11","2","NA","NA","NA","NA","NA","NA",63,62,1510,"99","2","0","0"
"2013","BE",15241,566.510903426791,"3",1985,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",28,27,1524,"1","0","0","100"
"2013","BE",15271,566.510903426791,"1",1947,"2","1","1","1","11","5","NA","NA","NA","NA","NA","NA",65,65,1527,"1","0","0","0"
"2013","BE",15311,566.510903426791,"4",1941,"2","1","2","1","11","2","NA","NA","5","NA","NA","NA",71,71,1531,"0.7857142857","0","0","0"
"2013","BE",15561,566.510903426791,"2",1982,"2","1","3","1","11","2","NA","NA","5","NA","NA","NA",31,30,1556,"0.9","0","0","100"
"2013","BE",15751,566.510903426791,"4",1952,"2","1","4","4","11","2","NA","NA","NA","0","0","NA",60,60,1575,"0.619047619","0","0","0"
"2013","BE",15801,566.510903426791,"4",1971,"1","1","1","1","11","NA","NA","NA","NA","0","NA","NA",42,41,1580,"0.5","0","1","0"
"2013","BE",15811,566.510903426791,"3",1959,"2","1","4","1","11","2","NA","NA","NA","NA","0","NA",53,53,1581,"0.7571428571","0","0","0"
"2013","BE",16031,566.510903426791,"1",1975,"2","1","3","1","11","5","NA","NA","NA","0","NA","NA",37,37,1603,"99","0","1","0"
"2013","BE",16291,566.510903426791,"1",1982,"2","1","4","1","11","2","NA","NA","NA","NA","NA","NA",30,30,1629,"1","2","0","0"
"2013","BE",16691,566.510903426791,"4",1974,"2","1","1","4","NA","NA","NA","NA","NA","NA","NA","NA",39,38,1669,"0.9285714286","0","0","0"
"2013","BE",16761,566.510903426791,"2",1949,"2","1","4","1","11","2","NA","NA","NA","NA","NA","0",63,63,1676,"0.7675282393","2","0","0"
"2013","BE",16981,566.510903426791,"2",1949,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",64,63,1698,"1","0","0","0"
"2013","BE",16991,566.510903426791,"1",1972,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",40,40,1699,"99","0","0","0"
"2013","BE",17061,566.510903426791,"1",1981,"1","1","1","1","NA","2","24","NA","NA","NA","NA","0",31,31,1706,"99","0","0","0"
"2013","BE",17101,566.510903426791,"2",1981,"2","1","3","1","NA","2","NA","28","NA","NA","NA","NA",31,31,1710,"1","1","0","0"
"2013","BE",17391,566.510903426791,"1",1985,"1","1","1","1","11","2","NA","NA","NA","0","NA","NA",28,27,1739,"1","1","1","0"
"2013","BE",17641,566.510903426791,"3",1956,"1","1","3","1","NA","2","NA","NA","NA","NA","NA","NA",57,56,1764,"0.8142857143","0","0","0"
"2013","BE",17711,566.510903426791,"3",1963,"2","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",49,49,1771,"99","0","0","100"
"2013","BE",18041,566.510903426791,"4",1966,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",47,46,1804,"1","0","0","0"
"2013","BE",18091,566.510903426791,"3",1956,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",56,56,1809,"0","2","0","0"
"2013","BE",18131,566.510903426791,"4",1990,"1","1","1","1","11","2","NA","NA","8","NA","NA","6",23,22,1813,"99","0","0","100"
"2013","BE",18191,566.510903426791,"1",1975,"1","1","4","1","11","NA","NA","NA","NA","NA","NA","NA",37,37,1819,"99","0","0","0"
"2013","BE",18201,566.510903426791,"3",1935,"2","1","4","1","11","2","NA","NA","NA","NA","NA","0",77,77,1820,"0.7291666667","0","0","0"
"2013","BE",18271,566.510903426791,"3",1979,"1","1","4","1","11","5","NA","NA","NA","30","NA","NA",33,33,1827,"0","0","0","0"
"2013","BE",18431,566.510903426791,"4",1941,"2","1","1","4","11","NA","NA","NA","NA","NA","NA","NA",72,71,1843,"1","1","0","0"
"2013","BE",18511,566.510903426791,"4",1968,"2","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA",44,44,1851,"0.9571428571","2","0","0"
"2013","BE",18551,566.510903426791,"1",1976,"1","1","3","1","11","2","NA","NA","NA","NA","NA","0",37,36,1855,"0","1","0","0"
"2013","BE",18691,566.510903426791,"4",1951,"1","1","4","1","11","2","NA","NA","4","NA","NA","NA",61,61,1869,"99","0","0","0"
"2013","BE",18771,566.510903426791,"2",1948,"1","1","2","1","NA","2","32","NA","NA","NA","NA","NA",65,64,1877,"99","0","0","0"
"2013","BE",18921,566.510903426791,"4",1982,"2","1","3","1","11","2","NA","NA","NA","NA","NA","NA",30,30,1892,"0.8611111111","2","1","0"
"2013","BE",18971,566.510903426791,"4",1932,"1","1","1","1","11","2","NA","NA","3","NA","0","NA",80,80,1897,"1","0","0","0"
"2013","BE",19171,566.510903426791,"2",1981,"1","1","1","1","NA","NA","NA","NA","0","NA","NA","NA",31,31,1917,"0","2","0","0"
"2013","BE",19261,566.510903426791,"3",1989,"2","1","4","1","11","2","NA","NA","NA","NA","0","NA",24,23,1926,"99","0","0","10"
"2013","BE",19371,566.510903426791,"3",1971,"1","1","1","4","11","2","NA","NA","NA","NA","NA","NA",41,41,1937,"99","2","0","0"
"2013","BE",19431,566.510903426791,"3",1987,"1","1","4","1","11","2","NA","NA","NA","NA","NA","10",25,25,1943,"0.4688101044","0","0","100"
"2013","BE",19451,566.510903426791,"1",1960,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",52,52,1945,"1","2","0","0"
"2013","BE",19481,566.510903426791,"4",1937,"1","1","3","1","NA","5","NA","NA","NA","NA","NA","NA",75,75,1948,"1","2","0","0"
"2013","BE",19861,566.510903426791,"3",1981,"1","1","2","4","11","2","NA","NA","NA","NA","NA","NA",32,31,1986,"99","1","0","0"
"2013","BE",19901,566.510903426791,"1",1979,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",33,33,1990,"0.2714285714","0","0","101"
"2013","BE",19931,566.510903426791,"1",1944,"1","1","1","1","11","2","NA","NA","NA","NA","0","NA",69,68,1993,"0.7428571429","2","0","0"
"2013","BE",20041,566.510903426791,"3",1965,"1","1","2","1","11","2","NA","NA","NA","NA","NA","0",47,47,2004,"0.8486703058","2","0","0"
"2013","BE",20321,566.510903426791,"3",1938,"2","1","4","1","11","2","NA","NA","NA","0","NA","NA",75,74,2032,"0.5428571429","0","0","0"
"2013","BE",20571,566.510903426791,"4",1932,"1","1","3","1","11","NA","25","NA","NA","NA","NA","NA",80,80,2057,"1","0","0","101"
"2013","BE",20641,566.510903426791,"1",1962,"1","1","4","1","11","NA","NA","NA","NA","0","0","NA",50,50,2064,"0.5","2","0","0"
"2013","BE",20701,566.510903426791,"2",1935,"2","1","1","4","11","2","NA","NA","NA","NA","NA","NA",77,77,2070,"99","0","0","0"
"2013","BE",20711,566.510903426791,"1",1954,"2","1","4","4","11","2","NA","32","NA","NA","NA","NA",58,58,2071,"99","2","0","100"
"2013","BE",20751,566.510903426791,"4",1962,"1","1","4","1","11","5","NA","NA","NA","NA","NA","NA",51,50,2075,"0.8571428571","0","0","0"
"2013","BE",20961,566.510903426791,"4",1976,"1","1","4","1","11","2","NA","NA","NA","0","NA","NA",37,36,2096,"99","0","0","0"
"2013","BE",21021,566.510903426791,"1",1985,"2","1","4","1","11","5","NA","NA","NA","NA","NA","NA",27,27,2102,"0.7714285714","1","0","1"
"2013","BE",21041,566.510903426791,"2",1932,"2","1","3","4","11","5","NA","NA","NA","NA","NA","NA",80,80,2104,"0.7777777778","0","0","100"
"2013","BE",21131,566.510903426791,"2",1977,"1","1","1","1","11","2","NA","NA","NA","0","NA","NA",36,35,2113,"1","0","0","0"
"2013","BE",21321,566.510903426791,"1",1986,"1","1","1","1","11","5","NA","NA","NA","NA","NA","NA",27,26,2132,"1","0","0","0"
"2013","BE",21431,566.510903426791,"2",1958,"1","1","1","1","11","2","NA","32","NA","NA","NA","NA",54,54,2143,"0.5","0","0","0"
"2013","BE",21701,566.510903426791,"2",1938,"2","1","1","1","11","2","NA","NA","NA","0","NA","NA",74,74,2170,"1","0","0","0"
"2013","BE",21741,566.510903426791,"4",1983,"2","1","1","1","11","2","NA","NA","NA","NA","NA","NA",29,29,2174,"1","2","1","0"
"2013","BE",21831,566.510903426791,"2",1977,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",35,35,2183,"0.7571428571","0","0","0"
"2013","BE",21851,566.510903426791,"1",1944,"2","1","4","1","NA","NA","NA","NA","NA","NA","NA","NA",68,68,2185,"0.95","1","0","0"
"2013","BE",21901,566.510903426791,"1",1970,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",42,42,2190,"0.9142857143","0","0","0"
"2013","BE",21921,566.510903426791,"4",1932,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",80,80,2192,"0.9285714286","0","0","0"
"2013","BE",21961,566.510903426791,"4",1953,"2","1","1","4","11","2","NA","NA","NA","NA","NA","NA",59,59,2196,"1","0","0","0"
"2013","BE",22071,566.510903426791,"1",1977,"1","1","3","1","11","2","NA","NA","NA","NA","NA","NA",35,35,2207,"0.8571428571","0","0","0"
"2013","BE",22211,566.510903426791,"2",1956,"2","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",56,56,2221,"0","0","0","100"
"2013","BE",22331,566.510903426791,"1",1971,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",41,41,2233,"0.8571428571","0","0","0"
"2013","BE",22431,566.510903426791,"4",1958,"2","1","1","4","11","2","NA","NA","5","NA","NA","NA",54,54,2243,"99","0","0","0"
"2013","BE",22681,566.510903426791,"3",1972,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",40,40,2268,"1","2","0","0"
"2013","BE",22761,566.510903426791,"4",1958,"2","1","1","4","11","5","NA","NA","NA","NA","NA","NA",54,54,2276,"99","2","0","0"
"2013","BE",22771,566.510903426791,"2",1947,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",65,65,2277,"0.6142857143","1","0","0"
"2013","BE",22911,566.510903426791,"4",1972,"1","1","4","1","11","5","NA","32","NA","NA","NA","NA",40,40,2291,"1","0","0","0"
"2013","BE",22921,566.510903426791,"2",1985,"1","1","1","1","11","NA","NA","NA","NA","NA","NA","NA",27,27,2292,"0.8952380952","2","0","0"
"2013","BE",22991,566.510903426791,"2",1954,"1","1","4","1","11","2","NA","NA","NA","0","NA","NA",58,58,2299,"0.8991135372","0","0","0"
"2013","BE",23141,566.510903426791,"4",1982,"1","1","4","1","NA","5","NA","NA","0","NA","NA","NA",31,30,2314,"1","0","0","111"
"2013","BE",23181,566.510903426791,"1",1965,"2","1","4","4","11","2","NA","NA","NA","NA","NA","NA",47,47,2318,"1","0","0","0"
"2013","BE",23211,566.510903426791,"4",1986,"1","1","1","1","11","2","NA","NA","NA","NA","NA","NA",26,26,2321,"0","0","0","0"
"2013","BE",23301,566.510903426791,"3",1987,"2","1","1","1","11","2","NA","NA","NA","NA","NA","0",26,25,2330,"99","2","0","100"
"2013","BE",23311,566.510903426791,"4",1963,"1","1","1","1","11","2","NA","NA","NA","NA","0","0",50,49,2331,"0.9285714286","0","0","0"
"2013","BE",23381,566.510903426791,"2",1948,"1","1","4","1","11","2","NA","NA","NA","NA","NA","NA",65,64,2338,"1","0","0","0"
"2013","BE",23611,566.510903426791,"4",1962,"1","1","1","1","NA","2","NA","NA","NA","NA","NA","NA",50,50,2361,"1","2","0","0"
