"DB010","DB020","DB030","DB040","DB062","DB090"
"2013","BE",1527,"BE10","NA","932.7994"
"2013","BE",1531,"BE10","NA","773.5979"
"2013","BE",1556,"BE10","NA","586.5436"
"2013","BE",1575,"BE10","NA","434.8451"
"2013","BE",1580,"BE10","NA","1250.423"
"2013","BE",1581,"BE10","NA","720.7376"
"2013","BE",1603,"BE10","NA","897.1619"
"2013","BE",1629,"BE10","NA","665.9419"
"2013","BE",1669,"BE10","NA","1317.978"
"2013","BE",1676,"BE10","NA","1169.486"
"2013","BE",1698,"BE10","NA","6862.886"
"2013","BE",1699,"BE10","NA","1187.504"
"2013","BE",1706,"BE10","NA","1428.075"
"2013","BE",1710,"BE10","NA","571.5223"
"2013","BE",1739,"BE10","NA","925.6558"
"2013","BE",1764,"BE10","NA","1011.465"
"2013","BE",1771,"BE10","NA","625.3722"
"2013","BE",1804,"BE10","NA","569.9874"
"2013","BE",1809,"BE10","NA","618.9195"
"2013","BE",1813,"BE10","NA","1775.691"
"2013","BE",1819,"BE10","NA","971.1582"
"2013","BE",1820,"BE10","NA","492.78"
"2013","BE",1827,"BE10","NA","2599.542"
"2013","BE",1843,"BE10","NA","426.6408"
"2013","BE",1851,"BE10","NA","638.6804"
"2013","BE",1855,"BE10","NA","584.4289"
"2013","BE",1869,"BE10","NA","916.6865"
"2013","BE",1877,"BE10","NA","600.3014"
"2013","BE",1892,"BE10","NA","2161.968"
"2013","BE",1897,"BE10","NA","660.8362"
"2013","BE",1917,"BE10","NA","1344.318"
"2013","BE",1926,"BE10","NA","312.4464"
"2013","BE",1937,"BE10","NA","738.904"
"2013","BE",1943,"BE10","NA","1409.396"
"2013","BE",1945,"BE10","NA","911.4245"
"2013","BE",1948,"BE10","NA","1051.062"
"2013","BE",1986,"BE10","NA","575.4301"
"2013","BE",1990,"BE10","NA","1119.826"
"2013","BE",1993,"BE10","NA","2409.627"
"2013","BE",2004,"BE10","NA","3953.436"
"2013","BE",2032,"BE10","NA","1242.269"
"2013","BE",2057,"BE10","NA","553.1754"
"2013","BE",2064,"BE10","NA","487.6587"
"2013","BE",2070,"BE10","NA","546.7929"
"2013","BE",2071,"BE10","NA","523.1486"
"2013","BE",2075,"BE10","NA","814.188"
"2013","BE",2096,"BE10","NA","3712.432"
"2013","BE",2102,"BE10","NA","410.9932"
"2013","BE",2104,"BE10","NA","433.1354"
"2013","BE",2113,"BE10","NA","686.5303"
"2013","BE",2132,"BE10","NA","812.1499"
"2013","BE",2143,"BE10","NA","984.5014"
"2013","BE",2170,"BE10","NA","774.3172"
"2013","BE",2174,"BE10","NA","4025.477"
"2013","BE",2183,"BE10","NA","421.5325"
"2013","BE",2185,"BE10","NA","1051.062"
"2013","BE",2190,"BE10","NA","1263.558"
"2013","BE",2192,"BE10","NA","1508.31"
"2013","BE",2196,"BE10","NA","622.6636"
"2013","BE",2207,"BE10","NA","698.2596"
"2013","BE",2221,"BE10","NA","1136.834"
"2013","BE",2233,"BE10","NA","1580.783"
"2013","BE",2243,"BE10","NA","683.8296"
"2013","BE",2268,"BE10","NA","949.5032"
"2013","BE",2276,"BE10","NA","383.2909"
"2013","BE",2277,"BE10","NA","540.9141"
"2013","BE",2291,"BE10","NA","1974.706"
"2013","BE",2292,"BE10","NA","696.7133"
"2013","BE",2299,"BE10","NA","1109.544"
"2013","BE",2314,"BE10","NA","978.6201"
"2013","BE",2318,"BE10","NA","4678.957"
"2013","BE",2321,"BE10","NA","774.3922"
"2013","BE",2330,"BE10","NA","7086.266"
"2013","BE",2331,"BE10","NA","1023.396"
"2013","BE",2338,"BE10","NA","707.03"
"2013","BE",2361,"BE10","NA","724.2116"
"2013","BE",2378,"BE10","NA","538.1593"
"2013","BE",2387,"BE10","NA","1103.306"
"2013","BE",2404,"BE10","NA","1263.985"
"2013","BE",2411,"BE10","NA","857.9455"
"2013","BE",2416,"BE10","NA","1258.902"
"2013","BE",2417,"BE10","NA","571.3315"
"2013","BE",2420,"BE10","NA","546.7929"
"2013","BE",2422,"BE10","NA","740.4846"
"2013","BE",2441,"BE10","NA","939.828"
"2013","BE",2443,"BE10","NA","791.5882"
"2013","BE",2452,"BE10","NA","835.2249"
"2013","BE",2461,"BE10","NA","710.1274"
"2013","BE",2470,"BE10","NA","727.155"
"2013","BE",2472,"BE10","NA","1138.181"
"2013","BE",2514,"BE10","NA","812.6344"
"2013","BE",2518,"BE10","NA","1243.43"
"2013","BE",2520,"BE10","NA","631.8543"
"2013","BE",2528,"BE10","NA","783.1948"
"2013","BE",2540,"BE10","NA","685.804"
"2013","BE",2542,"BE10","NA","557.2943"
"2013","BE",2563,"BE10","NA","540.0677"
"2013","BE",2574,"BE10","NA","511.305"
"2013","BE",2580,"BE10","NA","548.0277"
"2013","BE",2582,"BE10","NA","3029.446"
"2013","BE",2590,"BE10","NA","1432.398"
"2013","BE",2669,"BE10","NA","744.6737"
"2013","BE",2673,"BE10","NA","726.3097"
"2013","BE",2686,"BE10","NA","1187.136"
"2013","BE",2701,"BE10","NA","1004.827"
"2013","BE",2703,"BE10","NA","896.2255"
"2013","BE",2730,"BE10","NA","509.6626"
"2013","BE",2750,"BE10","NA","1190.556"
"2013","BE",2758,"BE10","NA","391.6726"
"2013","BE",2771,"BE10","NA","450.5038"
"2013","BE",2784,"BE10","NA","578.208"
"2013","BE",2788,"BE10","NA","474.7861"
"2013","BE",2789,"BE10","NA","481.3022"
"2013","BE",2805,"BE10","NA","452.949"
"2013","BE",2826,"BE10","NA","1329.497"
"2013","BE",2857,"BE10","NA","193.3723"
"2013","BE",2861,"BE10","NA","4193.077"
"2013","BE",2867,"BE10","NA","641.4673"
"2013","BE",2877,"BE10","NA","995.4423"
"2013","BE",2881,"BE10","NA","1635.599"
"2013","BE",2885,"BE10","NA","566.747"
"2013","BE",2904,"BE10","NA","2273.535"
"2013","BE",2912,"BE10","NA","542.4206"
"2013","BE",2925,"BE10","NA","1550.31"
"2013","BE",2937,"BE10","NA","1913.323"
"2013","BE",2954,"BE10","NA","856.3316"
"2013","BE",2965,"BE10","NA","510.5209"
"2013","BE",2968,"BE10","NA","424.3374"
"2013","BE",2973,"BE10","NA","306.6694"
"2013","BE",2985,"BE10","NA","671.911"
"2013","BE",2987,"BE10","NA","497.2637"
"2013","BE",2988,"BE10","NA","898.9612"
"2013","BE",3000,"BE10","NA","1213.942"
"2013","BE",3013,"BE10","NA","411.1903"
"2013","BE",3028,"BE10","NA","1457.615"
"2013","BE",3077,"BE10","NA","675.5451"
"2013","BE",3078,"BE10","NA","646.4543"
"2013","BE",3085,"BE10","NA","750.2933"
"2013","BE",3091,"BE10","NA","1017.82"
"2013","BE",3099,"BE10","NA","634.6988"
"2013","BE",3106,"BE10","NA","1455.934"
"2013","BE",3158,"BE10","NA","679.179"
"2013","BE",3200,"BE10","NA","602.9853"
"2013","BE",3207,"BE10","NA","434.3991"
"2013","BE",3209,"BE10","NA","557.7479"
"2013","BE",3216,"BE10","NA","1409.615"
"2013","BE",3248,"BE10","NA","507.5739"
"2013","BE",3252,"BE10","NA","683.4983"
"2013","BE",3256,"BE10","NA","460.5226"
"2013","BE",3266,"BE10","NA","1155.507"
"2013","BE",3268,"BE10","NA","419.5353"
"2013","BE",3279,"BE10","NA","996.3536"
"2013","BE",3280,"BE10","NA","631.5147"
"2013","BE",3297,"BE10","NA","2390.698"
"2013","BE",3308,"BE10","NA","818.6512"
"2013","BE",3347,"BE10","NA","957.6906"
"2013","BE",3358,"BE10","NA","1660.538"
"2013","BE",3368,"BE10","NA","781.0825"
"2013","BE",3371,"BE10","NA","1758.511"
"2013","BE",3377,"BE10","NA","1426.731"
"2013","BE",3383,"BE10","NA","920.2046"
"2013","BE",3399,"BE10","NA","497.2637"
"2013","BE",3404,"BE10","NA","710.2347"
"2013","BE",3408,"BE10","NA","955.6728"
"2013","BE",3438,"BE10","NA","313.5369"
"2013","BE",3440,"BE10","NA","581.3489"
"2013","BE",3442,"BE10","NA","664.7507"
"2013","BE",3443,"BE10","NA","832.6536"
"2013","BE",3465,"BE10","NA","1923.344"
"2013","BE",3469,"BE10","NA","2389.648"
"2013","BE",3487,"BE10","NA","494.531"
"2013","BE",3496,"BE10","NA","693.7329"
"2013","BE",3502,"BE10","NA","1577.198"
"2013","BE",3514,"BE10","NA","2051.069"
"2013","BE",3517,"BE10","NA","360.0554"
"2013","BE",3542,"BE10","NA","2056.558"
"2013","BE",3544,"BE10","NA","3029.446"
"2013","BE",3550,"BE10","NA","3545.178"
"2013","BE",3571,"BE10","NA","1274.03"
"2013","BE",3576,"BE10","NA","966.5048"
"2013","BE",3590,"BE10","NA","1021.883"
"2013","BE",3649,"BE10","NA","1067.331"
"2013","BE",3667,"BE10","NA","3365.236"
"2013","BE",3668,"BE10","NA","2209.506"
"2013","BE",3673,"BE10","NA","945.1933"
"2013","BE",3678,"BE10","NA","827.4304"
"2013","BE",3697,"BE10","NA","597.5248"
"2013","BE",3703,"BE10","NA","1713.314"
"2013","BE",3704,"BE10","NA","845.3562"
"2013","BE",3709,"BE10","NA","704.3799"
"2013","BE",3714,"BE10","NA","767.8933"
"2013","BE",3724,"BE10","NA","849.0297"
"2013","BE",3729,"BE10","NA","484.8009"
"2013","BE",3737,"BE10","NA","576.1872"
"2013","BE",3754,"BE10","NA","833.8634"
"2013","BE",3803,"BE10","NA","953.2044"
"2013","BE",3808,"BE10","NA","661.184"
"2013","BE",3834,"BE10","NA","580.8899"
"2013","BE",3836,"BE10","NA","565.5161"
"2013","BE",3843,"BE10","NA","420.2791"
"2013","BE",3845,"BE10","NA","629.7756"
"2013","BE",3850,"BE10","NA","1318.928"
"2013","BE",3855,"BE10","NA","4410.846"
"2013","BE",3864,"BE10","NA","1279.868"
"2013","BE",3868,"BE10","NA","1009.002"
"2013","BE",3876,"BE10","NA","903.1267"
"2013","BE",3907,"BE10","NA","400.9347"
"2013","BE",3909,"BE10","NA","516.0536"
"2013","BE",3917,"BE10","NA","903.1267"
"2013","BE",3927,"BE10","NA","801.0266"
"2013","BE",3931,"BE10","NA","660.6019"
"2013","BE",3937,"BE10","NA","1813.567"
"2013","BE",3942,"BE10","NA","947.5091"
"2013","BE",3973,"BE10","NA","579.8264"
"2013","BE",3974,"BE10","NA","3365.236"
"2013","BE",3983,"BE10","NA","636.9759"
"2013","BE",4005,"BE10","NA","1210.978"
"2013","BE",4011,"BE10","NA","1380.37"
"2013","BE",4012,"BE10","NA","580.7697"
"2013","BE",4013,"BE10","NA","1158.097"
"2013","BE",4018,"BE10","NA","2651.408"
"2013","BE",4021,"BE10","NA","1654.055"
"2013","BE",4026,"BE10","NA","638.599"
"2013","BE",4056,"BE10","NA","713.8354"
"2013","BE",4062,"BE10","NA","2028.207"
"2013","BE",4071,"BE10","NA","1100.2"
"2013","BE",4087,"BE10","NA","931.5487"
"2013","BE",4090,"BE10","NA","846.4034"
"2013","BE",4101,"BE10","NA","1371.664"
"2013","BE",4102,"BE10","NA","844.345"
"2013","BE",4110,"BE10","NA","1390.75"
"2013","BE",4111,"BE10","NA","537.1656"
"2013","BE",4131,"BE10","NA","901.0996"
"2013","BE",4137,"BE10","NA","1034.774"
"2013","BE",4141,"BE10","NA","995.6694"
"2013","BE",4148,"BE10","NA","2084.279"
"2013","BE",4153,"BE10","NA","1045.553"
"2013","BE",4159,"BE10","NA","1077.551"
"2013","BE",4186,"BE10","NA","2065.193"
"2013","BE",4187,"BE10","NA","636.7901"
"2013","BE",4189,"BE10","NA","453.3865"
"2013","BE",4204,"BE10","NA","475.7423"
"2013","BE",4205,"BE10","NA","477.3501"
"2013","BE",4213,"BE10","NA","840.7231"
"2013","BE",4242,"BE10","NA","1869.902"
"2013","BE",4248,"BE10","NA","985.0033"
"2013","BE",4252,"BE10","NA","857.503"
"2013","BE",4286,"BE10","NA","900.8655"
"2013","BE",4295,"BE10","NA","669.2968"
"2013","BE",4307,"BE10","NA","1374.298"
"2013","BE",4329,"BE10","NA","1178.973"
"2013","BE",4344,"BE10","NA","679.361"
"2013","BE",4352,"BE10","NA","584.4289"
"2013","BE",4356,"BE10","NA","824.6091"
"2013","BE",4360,"BE10","NA","1255.638"
"2013","BE",4402,"BE10","NA","740.5977"
"2013","BE",4412,"BE10","NA","926.2861"
"2013","BE",4420,"BE10","NA","767.6974"
"2013","BE",4458,"BE10","NA","7086.266"
"2013","BE",4464,"BE10","NA","705.3527"
"2013","BE",4473,"BE10","NA","523.0178"
"2013","BE",4490,"BE10","NA","676.9097"
"2013","BE",4501,"BE10","NA","493.2986"
"2013","BE",4517,"BE10","NA","343.7132"
"2013","BE",4539,"BE10","NA","898.9473"
"2013","BE",4546,"BE10","NA","506.8574"
"2013","BE",4564,"BE10","NA","881.2586"
"2013","BE",4597,"BE10","NA","742.6816"
"2013","BE",4599,"BE10","NA","1034.146"
"2013","BE",4623,"BE10","NA","1008.424"
"2013","BE",4628,"BE10","NA","1224.723"
"2013","BE",4643,"BE10","NA","544.9008"
"2013","BE",4644,"BE10","NA","1758.855"
"2013","BE",4648,"BE10","NA","348.5758"
"2013","BE",4650,"BE10","NA","1009.543"
"2013","BE",4659,"BE10","NA","2409.627"
"2013","BE",4669,"BE10","NA","1296.061"
"2013","BE",4682,"BE10","NA","529.7828"
"2013","BE",4684,"BE10","NA","592.4474"
"2013","BE",4702,"BE10","NA","532.2787"
"2013","BE",4703,"BE10","NA","1206.979"
"2013","BE",4728,"BE10","NA","622.176"
"2013","BE",4735,"BE10","NA","1173.287"
"2013","BE",4753,"BE10","NA","400.9347"
"2013","BE",4756,"BE10","NA","662.2939"
"2013","BE",4792,"BE10","NA","1081.807"
"2013","BE",4799,"BE10","NA","728.102"
"2013","BE",4812,"BE10","NA","581.2691"
"2013","BE",4827,"BE10","NA","1832.361"
"2013","BE",4834,"BE10","NA","662.4872"
"2013","BE",4845,"BE10","NA","863.0627"
"2013","BE",4859,"BE10","NA","1003.492"
"2013","BE",4882,"BE10","NA","1060.654"
"2013","BE",4896,"BE10","NA","586.7578"
"2013","BE",4898,"BE10","NA","523.416"
"2013","BE",4907,"BE10","NA","1950.803"
"2013","BE",4924,"BE10","NA","1005.653"
"2013","BE",4945,"BE10","NA","1056.593"
"2013","BE",4981,"BE10","NA","649.5435"
"2013","BE",4983,"BE10","NA","602.9853"
"2013","BE",5001,"BE10","NA","1338.908"
"2013","BE",5003,"BE10","NA","775.3802"
"2013","BE",5007,"BE10","NA","1638.184"
"2013","BE",5017,"BE10","NA","710.2347"
"2013","BE",5021,"BE10","NA","1258.741"
"2013","BE",5030,"BE10","NA","514.8052"
"2013","BE",5031,"BE10","NA","3360.315"
"2013","BE",5035,"BE10","NA","506.8574"
"2013","BE",5040,"BE10","NA","2758.931"
"2013","BE",5061,"BE10","NA","938.651"
"2013","BE",5063,"BE10","NA","1108.499"
"2013","BE",5064,"BE10","NA","601.3101"
"2013","BE",5074,"BE10","NA","433.026"
"2013","BE",5078,"BE10","NA","653.2772"
"2013","BE",5081,"BE10","NA","3953.436"
"2013","BE",5097,"BE10","NA","2185.711"
"2013","BE",5103,"BE10","NA","1173.928"
"2013","BE",5113,"BE10","NA","1953.359"
"2013","BE",5118,"BE10","NA","1079.92"
"2013","BE",5119,"BE10","NA","634.5372"
"2013","BE",5120,"BE10","NA","1255.706"
"2013","BE",5150,"BE10","NA","599.7382"
"2013","BE",5173,"BE10","NA","543.9923"
"2013","BE",5176,"BE10","NA","895.8557"
"2013","BE",5180,"BE10","NA","606.005"
"2013","BE",5183,"BE10","NA","7077.635"
"2013","BE",5186,"BE10","NA","542.4206"
"2013","BE",5190,"BE10","NA","598.8275"
"2013","BE",5191,"BE10","NA","713.5345"
"2013","BE",5196,"BE10","NA","478.5298"
"2013","BE",5204,"BE10","NA","1353.435"
"2013","BE",5205,"BE10","NA","788.8829"
"2013","BE",5209,"BE10","NA","520.3045"
"2013","BE",5217,"BE10","NA","1671.002"
"2013","BE",5226,"BE10","NA","556.5617"
"2013","BE",5228,"BE10","NA","1167.498"
"2013","BE",5233,"BE10","NA","506.7081"
"2013","BE",5241,"BE10","NA","810.0707"
"2013","BE",5247,"BE10","NA","4684.314"
"2013","BE",5255,"BE10","NA","1563.519"
"2013","BE",5260,"BE10","NA","719.8491"
"2013","BE",5262,"BE10","NA","597.6301"
"2013","BE",5264,"BE10","NA","1278.031"
"2013","BE",5278,"BE10","NA","620.4204"
"2013","BE",5291,"BE10","NA","523.416"
"2013","BE",5328,"BE10","NA","856.3747"
"2013","BE",5330,"BE10","NA","417.0285"
"2013","BE",5352,"BE10","NA","779.4212"
"2013","BE",5360,"BE10","NA","947.5091"
"2013","BE",5365,"BE10","NA","805.8644"
"2013","BE",5366,"BE10","NA","1154.645"
"2013","BE",5368,"BE10","NA","506.7081"
"2013","BE",5386,"BE10","NA","620.8601"
"2013","BE",5388,"BE10","NA","554.5112"
"2013","BE",5398,"BE10","NA","647.856"
"2013","BE",5414,"BE10","NA","668.9479"
"2013","BE",5440,"BE10","NA","1216.805"
"2013","BE",5444,"BE10","NA","590.5886"
"2013","BE",5452,"BE10","NA","1077.647"
"2013","BE",5458,"BE10","NA","730.0012"
"2013","BE",5463,"BE10","NA","1682.833"
"2013","BE",5464,"BE10","NA","1031.588"
"2013","BE",5474,"BE10","NA","1321.261"
"2013","BE",5488,"BE10","NA","983.9608"
"2013","BE",5507,"BE10","NA","596.9373"
"2013","BE",5510,"BE10","NA","1271.051"
"2013","BE",5512,"BE10","NA","1170.089"
"2013","BE",5523,"BE10","NA","689.7668"
"2013","BE",5542,"BE10","NA","597.2679"
"2013","BE",5563,"BE10","NA","579.0203"
"2013","BE",5570,"BE10","NA","651.9845"
"2013","BE",5589,"BE10","NA","1618.887"
"2013","BE",5594,"BE10","NA","420.6438"
"2013","BE",5639,"BE10","NA","545.6416"
"2013","BE",5641,"BE10","NA","274.2421"
"2013","BE",5652,"BE10","NA","816.0924"
"2013","BE",5657,"BE10","NA","805.8644"
"2013","BE",5680,"BE10","NA","1317.978"
"2013","BE",5722,"BE10","NA","491.3708"
"2013","BE",5730,"BE10","NA","594.8279"
"2013","BE",5735,"BE10","NA","910.7642"
"2013","BE",5756,"BE10","NA","1015.093"
"2013","BE",5789,"BE10","NA","1253.93"
"2013","BE",5790,"BE10","NA","562.8089"
"2013","BE",5799,"BE10","NA","1379.111"
"2013","BE",5804,"BE10","NA","1901.213"
"2013","BE",5806,"BE10","NA","707.7768"
"2013","BE",5814,"BE10","NA","864.2249"
"2013","BE",5823,"BE10","NA","974.6676"
"2013","BE",5858,"BE10","NA","738.904"
"2013","BE",5868,"BE10","NA","630.3485"
"2013","BE",5906,"BE10","NA","848.4343"
"2013","BE",5923,"BE10","NA","873.0054"
"2013","BE",5933,"BE10","NA","547.3868"
"2013","BE",5934,"BE10","NA","778.4793"
"2013","BE",5953,"BE10","NA","1103.985"
"2013","BE",5957,"BE10","NA","718.4007"
"2013","BE",5985,"BE10","NA","1802.343"
"2013","BE",6029,"BE10","NA","263.5008"
"2013","BE",6030,"BE10","NA","2908.557"
"2013","BE",6041,"BE10","NA","1322.67"
"2013","BE",6043,"BE10","NA","693.3412"
"2013","BE",6046,"BE10","NA","667.5876"
"2013","BE",6060,"BE10","NA","876.8136"
"2013","BE",6075,"BE10","NA","762.0456"
"2013","BE",6083,"BE10","NA","322.4042"
"2013","BE",6084,"BE10","NA","423.5989"
"2013","BE",6099,"BE10","NA","807.3084"
"2013","BE",6156,"BE10","NA","956.571"
"2013","BE",6165,"BE10","NA","279.6904"
"2013","BE",6171,"BE10","NA","2238.233"
"2013","BE",6175,"BE10","NA","4912.452"
"2013","BE",6179,"BE10","NA","469.3004"
"2013","BE",6197,"BE10","NA","730.5854"
"2013","BE",6205,"BE10","NA","692.3026"
"2013","BE",6226,"BE10","NA","678.318"
"2013","BE",6246,"BE10","NA","451.4567"
"2013","BE",6252,"BE10","NA","801.6053"
"2013","BE",6275,"BE10","NA","1275.224"
"2013","BE",6285,"BE10","NA","711.9536"
"2013","BE",6288,"BE10","NA","2145.088"
"2013","BE",6291,"BE10","NA","589.8223"
"2013","BE",6293,"BE10","NA","547.6711"
"2013","BE",6302,"BE10","NA","386.6493"
"2013","BE",6327,"BE10","NA","928.4633"
"2013","BE",6351,"BE10","NA","1679.843"
"2013","BE",6357,"BE10","NA","523.7038"
"2013","BE",6367,"BE10","NA","740.8811"
"2013","BE",6372,"BE10","NA","896.8986"
"2013","BE",6378,"BE10","NA","991.0426"
"2013","BE",6383,"BE10","NA","767.0287"
"2013","BE",6392,"BE10","NA","405.8859"
"2013","BE",6402,"BE10","NA","1278.5"
"2013","BE",6419,"BE10","NA","698.6145"
"2013","BE",6438,"BE10","NA","652.619"
"2013","BE",6449,"BE10","NA","1062.018"
"2013","BE",6458,"BE10","NA","557.7479"
"2013","BE",6472,"BE10","NA","778.046"
"2013","BE",6482,"BE10","NA","423.4027"
"2013","BE",6490,"BE10","NA","2209.506"
"2013","BE",6505,"BE10","NA","779.0068"
"2013","BE",6548,"BE10","NA","523.4077"
"2013","BE",6553,"BE10","NA","448.519"
"2013","BE",6558,"BE10","NA","493.9339"
"2013","BE",6571,"BE10","NA","409.3194"
"2013","BE",6578,"BE10","NA","733.7523"
"2013","BE",6589,"BE10","NA","716.7962"
"2013","BE",6598,"BE10","NA","749.59"
"2013","BE",6618,"BE10","NA","991.2937"
"2013","BE",6638,"BE10","NA","774.3172"
"2013","BE",6643,"BE10","NA","418.6976"
"2013","BE",6664,"BE10","NA","1390.75"
"2013","BE",6680,"BE10","NA","1634.648"
"2013","BE",6681,"BE10","NA","992.9789"
"2013","BE",6698,"BE10","NA","730.8663"
"2013","BE",6702,"BE10","NA","578.4586"
"2013","BE",6706,"BE10","NA","760.176"
"2013","BE",6709,"BE10","NA","1174.424"
"2013","BE",6713,"BE10","NA","1233.386"
"2013","BE",6714,"BE10","NA","533.9227"
"2013","BE",6717,"BE10","NA","883.1772"
"2013","BE",6722,"BE10","NA","577.4321"
"2013","BE",6753,"BE10","NA","764.3316"
"2013","BE",6782,"BE10","NA","620.5347"
"2013","BE",6786,"BE10","NA","1263.693"
"2013","BE",6792,"BE10","NA","858.4842"
"2013","BE",6802,"BE10","NA","12881.1"
"2013","BE",6803,"BE10","NA","807.8529"
"2013","BE",6821,"BE10","NA","621.2963"
"2013","BE",6834,"BE10","NA","569.9874"
"2013","BE",6842,"BE10","NA","743.7144"
